x (mm),V (m/s)
2.55118,0.229458361
2.76946,0.030109089
2.98774,0.298252989
3.20602,0.188646572
3.4243,0.240448006
3.64259,0.326774199
3.86087,0.43032157
4.07915,0.551293654
4.29743,0.672413071
4.51571,0.771038111
4.73399,0.85684221
4.95228,0.9307412
5.17056,0.955568643
5.38884,1.020990519
5.60712,1.046397444
5.8254,1.040140954
6.04368,0.945591077
6.26197,0.900951337
6.48025,0.834482854
6.69853,0.737170558
6.91681,0.627584386
7.13509,0.517956488
7.35337,0.41052088
7.57165,0.314171058
7.78994,0.215515431
8.00822,0.148335127
8.2265,0.083907566
8.44478,0.259576871
