x (mm),V (m/s)
2.94882,0.152942456
3.16827,0.234462902
3.38771,0.282026284
3.60716,0.388989433
3.82661,0.496042652
4.04606,0.597046677
4.26551,0.683830178
4.48495,0.765742269
4.7044,0.856480676
4.92385,0.930240229
5.1433,0.972771428
5.36275,0.988063843
5.58219,0.959709233
5.80164,0.917915178
6.02109,0.855498106
6.24054,0.768986327
6.45999,0.678591048
6.67943,0.592219114
6.89888,0.499207646
7.11833,0.40087067
7.33778,0.300157789
7.55723,0.206715068
7.77667,0.142614044
7.99612,0.117488706
