[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0081202993
0.0000000000,0.0045282007,0.0469250008,0.0081943870
0.0000000000,0.0045314012,0.0469250008,0.0081978133
0.0000000000,0.0045346017,0.0469250008,0.0082012434
0.0000000000,0.0045378022,0.0469250008,0.0082046753
0.0000000000,0.0045410027,0.0469250008,0.0082081128
0.0000000000,0.0045442032,0.0469250008,0.0082115512
0.0000000000,0.0045474037,0.0469250008,0.0082149943
0.0000000000,0.0045506041,0.0469250008,0.0082184393
0.0000000000,0.0045538046,0.0469250008,0.0082218880
0.0000000000,0.0045570051,0.0469250008,0.0082253395
0.0000000000,0.0045602056,0.0469250008,0.0082287937
0.0000000000,0.0045634061,0.0469250008,0.0082322508
0.0000000000,0.0045666066,0.0469250008,0.0082357107
0.0000000000,0.0045698071,0.0469250008,0.0082391743
0.0000000000,0.0045730076,0.0469250008,0.0082426406
0.0000000000,0.0045762081,0.0469250008,0.0082461108
0.0000000000,0.0045794086,0.0469250008,0.0082495827
0.0000000000,0.0045826091,0.0469250008,0.0082530575
0.0000000000,0.0045858095,0.0469250008,0.0082565360
0.0000000000,0.0045890100,0.0469250008,0.0082600163
0.0000000000,0.0045922105,0.0469250008,0.0082635004
0.0000000000,0.0045954110,0.0469250008,0.0082669891
0.0000000000,0.0045986115,0.0469250008,0.0082704788
0.0000000000,0.0046018120,0.0469250008,0.0082739722
0.0000000000,0.0046050125,0.0469250008,0.0082774675
0.0000000000,0.0046082130,0.0469250008,0.0082809664
0.0000000000,0.0046114135,0.0469250008,0.0082844682
0.0000000000,0.0046146140,0.0469250008,0.0082879728
0.0000000000,0.0046178144,0.0469250008,0.0082914811
0.0000000000,0.0046210149,0.0469250008,0.0082949921
0.0000000000,0.0046242154,0.0469250008,0.0082985060
0.0000000000,0.0046274159,0.0469250008,0.0083020236
0.0000000000,0.0046306164,0.0469250008,0.0083055422
0.0000000000,0.0046338169,0.0469250008,0.0083090635
0.0000000000,0.0046370174,0.0469250008,0.0083125895
0.0000000000,0.0046402179,0.0469250008,0.0083161183
0.0000000000,0.0046434184,0.0469250008,0.0083196498
0.0000000000,0.0046466189,0.0469250008,0.0083231842
0.0000000000,0.0046498193,0.0469250008,0.0083267204
0.0000000000,0.0046530198,0.0469250008,0.0083302613
0.0000000000,0.0046562203,0.0469250008,0.0083338041
0.0000000000,0.0046594208,0.0469250008,0.0083373487
0.0000000000,0.0046626213,0.0469250008,0.0083408989
0.0000000000,0.0046658218,0.0469250008,0.0083444491
0.0000000000,0.0046690223,0.0469250008,0.0083480040
0.0000000000,0.0046722228,0.0469250008,0.0083515579
0.0000000000,0.0046754233,0.0469250008,0.0083548846
0.0000000000,0.0046786238,0.0469250008,0.0083582131
0.0000000000,0.0046818242,0.0469250008,0.0083615473
0.0000000000,0.0046850247,0.0469250008,0.0083648833
0.0000000000,0.0046882252,0.0469250008,0.0083682230
0.0000000000,0.0046914257,0.0469250008,0.0083715646
0.0000000000,0.0046946262,0.0469250008,0.0083749117
0.0000000000,0.0046978267,0.0469250008,0.0083782598
0.0000000000,0.0047010272,0.0469250008,0.0083816126
0.0000000000,0.0047042277,0.0469250008,0.0083847744
0.0000000000,0.0047074282,0.0469250008,0.0083883042
0.0000000000,0.0047106287,0.0469250008,0.0083916467
0.0000000000,0.0047138291,0.0469250008,0.0083949920
0.0000000000,0.0047170296,0.0469250008,0.0083983401
0.0000000000,0.0047202301,0.0469250008,0.0084016928
0.0000000000,0.0047234306,0.0469250008,0.0084050484
0.0000000000,0.0047266311,0.0469250008,0.0084084067
0.0000000000,0.0047298316,0.0469250008,0.0084117698
0.0000000000,0.0047330321,0.0469250008,0.0084151356
0.0000000000,0.0047362326,0.0469250008,0.0084185051
0.0000000000,0.0047394331,0.0469250008,0.0084218783
0.0000000000,0.0047426336,0.0469250008,0.0084252553
0.0000000000,0.0047458340,0.0469250008,0.0084286351
0.0000000000,0.0047490345,0.0469250008,0.0084320176
0.0000000000,0.0047522350,0.0469250008,0.0084354058
0.0000000000,0.0047554355,0.0469250008,0.0084387949
0.0000000000,0.0047586360,0.0469250008,0.0084421886
0.0000000000,0.0047618365,0.0469250008,0.0084455861
0.0000000000,0.0047650370,0.0469250008,0.0084489854
0.0000000000,0.0047682375,0.0469250008,0.0084523894
0.0000000000,0.0047714380,0.0469250008,0.0084557980
0.0000000000,0.0047746385,0.0469250008,0.0084592076
0.0000000000,0.0047778389,0.0469250008,0.0084626218
0.0000000000,0.0047810394,0.0469250008,0.0084660398
0.0000000000,0.0047842399,0.0469250008,0.0084694605
0.0000000000,0.0047874404,0.0469250008,0.0084728859
0.0000000000,0.0047906409,0.0469250008,0.0084763132
0.0000000000,0.0047938414,0.0469250008,0.0084797451
0.0000000000,0.0047970419,0.0469250008,0.0084831780
0.0000000000,0.0048002424,0.0469250008,0.0084866174
0.0000000000,0.0048034429,0.0469250008,0.0084900577
0.0000000000,0.0048066434,0.0469250008,0.0084935026
0.0000000000,0.0048098438,0.0469250008,0.0084969513
0.0000000000,0.0048130443,0.0469250008,0.0085004019
0.0000000000,0.0048162448,0.0469250008,0.0085038561
0.0000000000,0.0048194453,0.0469250008,0.0085073160
0.0000000000,0.0048226458,0.0469250008,0.0085107768
0.0000000000,0.0048258463,0.0469250008,0.0085142413
0.0000000000,0.0048290468,0.0469250008,0.0085177105
0.0000000000,0.0048322473,0.0469250008,0.0085211806
0.0000000000,0.0048354478,0.0469250008,0.0085246554
0.0000000000,0.0048386483,0.0469250008,0.0085281348
0.0000000000,0.0048418487,0.0469250008,0.0085316151
0.0000000000,0.0048450492,0.0469250008,0.0085351001
0.0000000000,0.0048482497,0.0469250008,0.0085402820
0.0000000000,0.0048514502,0.0469250008,0.0085455868
0.0000000000,0.0048546507,0.0469250008,0.0085508963
0.0000000000,0.0048578512,0.0469250008,0.0085562076
0.0000000000,0.0048610517,0.0469250008,0.0085615218
0.0000000000,0.0048642522,0.0469250008,0.0085668387
0.0000000000,0.0048674527,0.0469250008,0.0085721593
0.0000000000,0.0048706532,0.0469250008,0.0085774828
0.0000000000,0.0048738536,0.0469250008,0.0085828090
0.0000000000,0.0048770541,0.0469250008,0.0085884593
0.0000000000,0.0048802546,0.0469250008,0.0085941218
0.0000000000,0.0048834551,0.0469250008,0.0085997861
0.0000000000,0.0048866556,0.0469250008,0.0086054541
0.0000000000,0.0048898561,0.0469250008,0.0086111240
0.0000000000,0.0048930566,0.0469250008,0.0086167967
0.0000000000,0.0048962571,0.0469250008,0.0086224722
0.0000000000,0.0048994576,0.0469250008,0.0086281514
0.0000000000,0.0049026581,0.0469250008,0.0086338306
0.0000000000,0.0049058585,0.0469250008,0.0086395144
0.0000000000,0.0049090590,0.0469250008,0.0086451983
0.0000000000,0.0049122595,0.0469250008,0.0086508868
0.0000000000,0.0049154600,0.0469250008,0.0086565781
0.0000000000,0.0049186605,0.0469250008,0.0086622722
0.0000000000,0.0049218610,0.0469250008,0.0086679673
0.0000000000,0.0049250615,0.0469250008,0.0086736660
0.0000000000,0.0049282620,0.0469250008,0.0086793667
0.0000000000,0.0049314625,0.0469250008,0.0086850701
0.0000000000,0.0049346630,0.0469250008,0.0086907763
0.0000000000,0.0049378634,0.0469250008,0.0086964844
0.0000000000,0.0049410639,0.0469250008,0.0087021962
0.0000000000,0.0049442644,0.0469250008,0.0087079089
0.0000000000,0.0049474649,0.0469250008,0.0087136254
0.0000000000,0.0049506654,0.0469250008,0.0087193446
0.0000000000,0.0049538659,0.0469250008,0.0087250648
0.0000000000,0.0049570664,0.0469250008,0.0087307887
0.0000000000,0.0049602669,0.0469250008,0.0087365154
0.0000000000,0.0049634674,0.0469250008,0.0087422440
0.0000000000,0.0049666679,0.0469250008,0.0087479753
0.0000000000,0.0049698683,0.0469250008,0.0087537086
0.0000000000,0.0049730688,0.0469250008,0.0087594455
0.0000000000,0.0049762693,0.0469250008,0.0087651834
0.0000000000,0.0049794698,0.0469250008,0.0087709241
0.0000000000,0.0049826703,0.0469250008,0.0087766685
0.0000000000,0.0049858708,0.0469250008,0.0087824147
0.0000000000,0.0049890713,0.0469250008,0.0087881619
0.0000000000,0.0049922718,0.0469250008,0.0087939128
0.0000000000,0.0049954723,0.0469250008,0.0087996665
0.0000000000,0.0049986728,0.0469250008,0.0088054240
