[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0084122717
0.0000000000,0.0045282007,0.0469250008,0.0084220832
0.0000000000,0.0045314012,0.0469250008,0.0084249601
0.0000000000,0.0045346017,0.0469250008,0.0084278388
0.0000000000,0.0045378022,0.0469250008,0.0084307212
0.0000000000,0.0045410027,0.0469250008,0.0084336055
0.0000000000,0.0045442032,0.0469250008,0.0084364917
0.0000000000,0.0045474037,0.0469250008,0.0084393816
0.0000000000,0.0045506041,0.0469250008,0.0084422734
0.0000000000,0.0045538046,0.0469250008,0.0084451679
0.0000000000,0.0045570051,0.0469250008,0.0084480634
0.0000000000,0.0045602056,0.0469250008,0.0084509635
0.0000000000,0.0045634061,0.0469250008,0.0084538646
0.0000000000,0.0045666066,0.0469250008,0.0084567694
0.0000000000,0.0045698071,0.0469250008,0.0084596770
0.0000000000,0.0045730076,0.0469250008,0.0084625864
0.0000000000,0.0045762081,0.0469250008,0.0084654978
0.0000000000,0.0045794086,0.0469250008,0.0084684119
0.0000000000,0.0045826091,0.0469250008,0.0084713288
0.0000000000,0.0045858095,0.0469250008,0.0084742485
0.0000000000,0.0045890100,0.0469250008,0.0084771700
0.0000000000,0.0045922105,0.0469250008,0.0084800944
0.0000000000,0.0045954110,0.0469250008,0.0084830215
0.0000000000,0.0045986115,0.0469250008,0.0084859496
0.0000000000,0.0046018120,0.0469250008,0.0084888814
0.0000000000,0.0046050125,0.0469250008,0.0084918160
0.0000000000,0.0046082130,0.0469250008,0.0084947525
0.0000000000,0.0046114135,0.0469250008,0.0084976926
0.0000000000,0.0046146140,0.0469250008,0.0085006328
0.0000000000,0.0046178144,0.0469250008,0.0085035767
0.0000000000,0.0046210149,0.0469250008,0.0085065234
0.0000000000,0.0046242154,0.0469250008,0.0085094739
0.0000000000,0.0046274159,0.0469250008,0.0085124243
0.0000000000,0.0046306164,0.0469250008,0.0085153766
0.0000000000,0.0046338169,0.0469250008,0.0085183335
0.0000000000,0.0046370174,0.0469250008,0.0085212924
0.0000000000,0.0046402179,0.0469250008,0.0085242540
0.0000000000,0.0046434184,0.0469250008,0.0085272165
0.0000000000,0.0046466189,0.0469250008,0.0085301828
0.0000000000,0.0046498193,0.0469250008,0.0085331509
0.0000000000,0.0046530198,0.0469250008,0.0085361218
0.0000000000,0.0046562203,0.0469250008,0.0085390955
0.0000000000,0.0046594208,0.0469250008,0.0085420702
0.0000000000,0.0046626213,0.0469250008,0.0085450485
0.0000000000,0.0046658218,0.0469250008,0.0085480297
0.0000000000,0.0046690223,0.0469250008,0.0085510118
0.0000000000,0.0046722228,0.0469250008,0.0085539967
0.0000000000,0.0046754233,0.0469250008,0.0085569853
0.0000000000,0.0046786238,0.0469250008,0.0085599758
0.0000000000,0.0046818242,0.0469250008,0.0085629672
0.0000000000,0.0046850247,0.0469250008,0.0085659632
0.0000000000,0.0046882252,0.0469250008,0.0085689602
0.0000000000,0.0046914257,0.0469250008,0.0085719600
0.0000000000,0.0046946262,0.0469250008,0.0085749617
0.0000000000,0.0046978267,0.0469250008,0.0085779671
0.0000000000,0.0047010272,0.0469250008,0.0085809743
0.0000000000,0.0047042277,0.0469250008,0.0085839825
0.0000000000,0.0047074282,0.0469250008,0.0085869934
0.0000000000,0.0047106287,0.0469250008,0.0085900091
0.0000000000,0.0047138291,0.0469250008,0.0085930256
0.0000000000,0.0047170296,0.0469250008,0.0085960440
0.0000000000,0.0047202301,0.0469250008,0.0085990652
0.0000000000,0.0047234306,0.0469250008,0.0086020883
0.0000000000,0.0047266311,0.0469250008,0.0086051151
0.0000000000,0.0047298316,0.0469250008,0.0086081428
0.0000000000,0.0047330321,0.0469250008,0.0086111743
0.0000000000,0.0047362326,0.0469250008,0.0086142058
0.0000000000,0.0047394331,0.0469250008,0.0086172409
0.0000000000,0.0047426336,0.0469250008,0.0086202798
0.0000000000,0.0047458340,0.0469250008,0.0086233197
0.0000000000,0.0047490345,0.0469250008,0.0086263614
0.0000000000,0.0047522350,0.0469250008,0.0086293928
0.0000000000,0.0047554355,0.0469250008,0.0086323014
0.0000000000,0.0047586360,0.0469250008,0.0086352127
0.0000000000,0.0047618365,0.0469250008,0.0086381258
0.0000000000,0.0047650370,0.0469250008,0.0086410418
0.0000000000,0.0047682375,0.0469250008,0.0086441785
0.0000000000,0.0047714380,0.0469250008,0.0086473413
0.0000000000,0.0047746385,0.0469250008,0.0086504454
0.0000000000,0.0047778389,0.0469250008,0.0086535513
0.0000000000,0.0047810394,0.0469250008,0.0086566564
0.0000000000,0.0047842399,0.0469250008,0.0086612785
0.0000000000,0.0047874404,0.0469250008,0.0086660292
0.0000000000,0.0047906409,0.0469250008,0.0086707845
0.0000000000,0.0047938414,0.0469250008,0.0086755417
0.0000000000,0.0047970419,0.0469250008,0.0086803418
0.0000000000,0.0048002424,0.0469250008,0.0086851530
0.0000000000,0.0048034429,0.0469250008,0.0086899661
0.0000000000,0.0048066434,0.0469250008,0.0086947838
0.0000000000,0.0048098438,0.0469250008,0.0086996015
0.0000000000,0.0048130443,0.0469250008,0.0087049361
0.0000000000,0.0048162448,0.0469250008,0.0087091811
0.0000000000,0.0048194453,0.0469250008,0.0087139579
0.0000000000,0.0048226458,0.0469250008,0.0087187374
0.0000000000,0.0048258463,0.0469250008,0.0087235216
0.0000000000,0.0048290468,0.0469250008,0.0087283049
0.0000000000,0.0048322473,0.0469250008,0.0087330928
0.0000000000,0.0048354478,0.0469250008,0.0087378817
0.0000000000,0.0048386483,0.0469250008,0.0087426752
0.0000000000,0.0048418487,0.0469250008,0.0087474678
0.0000000000,0.0048450492,0.0469250008,0.0087522641
0.0000000000,0.0048482497,0.0469250008,0.0087570632
0.0000000000,0.0048514502,0.0469250008,0.0087618632
0.0000000000,0.0048546507,0.0469250008,0.0087666679
0.0000000000,0.0048578512,0.0469250008,0.0087714735
0.0000000000,0.0048610517,0.0469250008,0.0087762810
0.0000000000,0.0048642522,0.0469250008,0.0087810913
0.0000000000,0.0048674527,0.0469250008,0.0087859035
0.0000000000,0.0048706532,0.0469250008,0.0087907184
0.0000000000,0.0048738536,0.0469250008,0.0087955352
0.0000000000,0.0048770541,0.0469250008,0.0088003539
0.0000000000,0.0048802546,0.0469250008,0.0088051753
0.0000000000,0.0048834551,0.0469250008,0.0088099996
0.0000000000,0.0048866556,0.0469250008,0.0088148257
0.0000000000,0.0048898561,0.0469250008,0.0088196537
0.0000000000,0.0048930566,0.0469250008,0.0088244844
0.0000000000,0.0048962571,0.0469250008,0.0088293171
0.0000000000,0.0048994576,0.0469250008,0.0088341516
0.0000000000,0.0049026581,0.0469250008,0.0088389898
0.0000000000,0.0049058585,0.0469250008,0.0088438289
0.0000000000,0.0049090590,0.0469250008,0.0088486709
0.0000000000,0.0049122595,0.0469250008,0.0088535137
0.0000000000,0.0049154600,0.0469250008,0.0088583613
0.0000000000,0.0049186605,0.0469250008,0.0088632088
0.0000000000,0.0049218610,0.0469250008,0.0088680601
0.0000000000,0.0049250615,0.0469250008,0.0088729132
0.0000000000,0.0049282620,0.0469250008,0.0088777672
0.0000000000,0.0049314625,0.0469250008,0.0088826241
0.0000000000,0.0049346630,0.0469250008,0.0088874837
0.0000000000,0.0049378634,0.0469250008,0.0088923462
0.0000000000,0.0049410639,0.0469250008,0.0088972095
0.0000000000,0.0049442644,0.0469250008,0.0089020757
0.0000000000,0.0049474649,0.0469250008,0.0089069447
0.0000000000,0.0049506654,0.0469250008,0.0089118145
0.0000000000,0.0049538659,0.0469250008,0.0089166882
0.0000000000,0.0049570664,0.0469250008,0.0089215618
0.0000000000,0.0049602669,0.0469250008,0.0089264391
0.0000000000,0.0049634674,0.0469250008,0.0089313183
0.0000000000,0.0049666679,0.0469250008,0.0089361994
0.0000000000,0.0049698683,0.0469250008,0.0089410823
0.0000000000,0.0049730688,0.0469250008,0.0089459680
0.0000000000,0.0049762693,0.0469250008,0.0089508565
0.0000000000,0.0049794698,0.0469250008,0.0089557460
0.0000000000,0.0049826703,0.0469250008,0.0089606382
0.0000000000,0.0049858708,0.0469250008,0.0089655323
0.0000000000,0.0049890713,0.0469250008,0.0089704292
0.0000000000,0.0049922718,0.0469250008,0.0089753261
0.0000000000,0.0049954723,0.0469250008,0.0089802276
0.0000000000,0.0049986728,0.0469250008,0.0089851301
