 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00963081,0.00000000,0
0.00963661,0.00000000,0
0.00964242,0.00000000,0
0.00964822,0.00000000,0
0.00965403,0.00000000,0
0.00965984,0.00000000,0
0.00966564,0.00000000,0
0.00967145,0.00000000,0
0.00967725,0.00000000,0
0.00968306,0.00000000,0
0.00968886,0.00000000,0
0.00969467,0.00000000,0
0.00970048,0.00000000,0
0.00970628,0.00000000,0
0.00971209,0.00000000,0
0.00971789,0.00000000,0
0.0097237,0.00000000,0
0.00972951,0.00000000,0
0.00973531,0.00000000,0
0.00974112,0.00000000,0
0.00974692,0.00000000,0
0.00975273,0.00000000,0
0.00975853,0.00000000,0
0.00976434,0.00000000,0
0.00977015,0.00000000,0
0.00977595,0.00000000,0
0.00978176,0.00000000,0
0.00978756,0.00000000,0
0.00979337,0.00000000,0
0.00979918,0.00000000,0
0.00980498,0.00000000,0
0.00981079,0.00000000,0
0.00981659,0.00000000,0
0.0098224,0.00000000,0
0.00982821,0.00000000,0
0.00983401,0.00000000,0
0.00983982,0.00000000,0
0.00984562,0.00000000,0
0.00985143,0.00000000,0
0.00985723,0.00000000,0
0.00986304,0.00000000,0
0.00986885,0.00000000,0
0.00987465,0.00000000,0
0.00988046,0.00000000,0
0.00988626,0.00000000,0
0.00989207,0.00000000,0
0.00989788,0.00000000,0
0.00990368,0.00000000,0
0.00990949,0.00000000,0
0.00991529,0.00000000,0
0.0099211,0.00000000,0
0.0099269,0.00000000,0
0.00993271,0.00000000,0
0.00993852,0.00000000,0
0.00994432,0.00000000,0
0.00995013,0.00000000,0
0.00995593,0.00000000,0
0.00996174,0.00000000,0
0.00996755,0.00000000,0
0.00997335,0.00000000,0
0.00997916,0.00000000,0
0.00998496,0.00000000,0
0.00999077,0.00000000,0
0.00999658,0.00000000,0
0.01000238,0.00000000,0
0.01000819,0.00000000,0
0.01001399,0.00000000,0
0.0100198,0.00000000,0
0.0100256,0.00000000,0
0.01003141,0.00000000,0
0.01003722,0.00000000,0
0.01004302,0.00000000,0
0.01004883,0.00000000,0
0.01005463,0.00000000,0
0.01006044,0.00000000,0
0.01006625,0.00000000,0
0.01007205,0.00000000,0
0.01007786,0.00000000,0
0.01008366,0.00000000,0
0.01008947,0.00000000,0
0.01009528,0.00000000,0
0.01010108,0.00000000,0
0.01010689,0.00000000,0
0.01011269,0.00000000,0
0.0101185,0.00000000,0
0.0101243,0.00000000,0
0.01013011,0.00000000,0
0.01013592,0.00000000,0
0.01014172,0.28330532,0.27446893
0.01014753,0.31105635,0.30270633
0.01015333,0.33883315,0.33097231
0.01015914,0.36662990,0.35926017
0.01016495,0.39444226,0.38756508
0.01017075,0.42226726,0.41588357
0.01017656,0.45010254,0.44421306
0.01018236,0.47794625,0.47255158
0.01018817,0.50579709,0.50089753
0.01019397,0.53365380,0.52924985
0.01019978,0.56151569,0.55760735
0.01020559,0.58938181,0.58596957
0.01021139,0.61725181,0.61433566
0.0102172,0.64535463,0.64286119
0.010223,0.67362094,0.67149854
0.01022881,0.70188874,0.70013756
0.01023462,0.73015791,0.72877806
0.01024042,0.75842839,0.75741982
0.01024623,0.78669983,0.78606272
0.01025203,0.81497222,0.81470662
0.01025784,0.83034110,0.8303085
0.01026365,0.84390289,0.84408385
0.01026945,0.85746723,0.8578617
0.01027526,0.87103397,0.87164187
0.01028106,0.88261598,0.88336587
0.01028687,0.89295715,0.89380443
0.01029267,0.90329993,0.90424442
