 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.009625,0.00000000,0.00000000
0.00968359,0.00000000,0.00000000
0.00974217,0.00000000,0.00000000
0.00980076,0.00000000,0.00000000
0.00985934,0.00000000,0.00000000
0.00991793,0.00000000,0.00000000
0.00997651,0.00000000,0.00000000
0.0100351,0.00000000,0.00000000
0.01009369,0.00000000,0.00000000
0.01015227,0.01452908,0.01414223
0.01021086,0.02319300,0.02221814
0.01026944,0.02155067,0.02020382
0.01032803,0.02000287,0.02065292
0.01038662,0.09871303,0.09795652
0.0104452,0.21768521,0.21433266
0.01050379,0.36942074,0.36315677
0.01056237,0.53711277,0.52854884
0.01062096,0.69063020,0.68288547
0.01067954,0.83719397,0.83118749
0.01073813,0.95836020,0.95703381
0.01079672,1.07105541,1.07452989
0.0108553,1.17069256,1.17915154
0.01091389,1.25336349,1.26494956
0.01097247,1.32861817,1.34241295
0.01103106,1.39323950,1.40767896
0.01108964,1.44136822,1.45391274
0.01114823,1.48690200,1.49717832
0.01120682,1.51775098,1.52426732
0.0112654,1.54353714,1.54614043
0.01132399,1.56118953,1.56029689
0.01138257,1.57210052,1.56884134
0.01144116,1.57915020,1.57442045
0.01149974,1.58123612,1.57552969
0.01155833,1.58274436,1.57597613
0.01161692,1.58230472,1.57452452
0.0116755,1.58066857,1.57238877
0.01173409,1.57806528,1.56980252
0.01179267,1.57449853,1.56696272
0.01185126,1.57083488,1.56421876
0.01190985,1.56712317,1.56154740
0.01196843,1.56381595,1.55923486
0.01202702,1.56070995,1.55708766
0.0120856,1.55793309,1.55521464
0.01214419,1.55558705,1.55366790
0.01220277,1.55342448,1.55225635
0.01226136,1.55174494,1.55113924
0.01231995,1.55057061,1.55033004
0.01237853,1.54967344,1.54970288
0.01243712,1.54910219,1.54930735
0.0124957,1.54876888,1.54907084
0.01255429,1.54872966,1.54903328
0.01261287,1.54908061,1.54927480
0.01267146,1.54969692,1.54969716
0.01273005,1.55061686,1.55032456
0.01278863,1.55193806,1.55120802
0.01284722,1.55365312,1.55233574
0.0129058,1.55565584,1.55367029
0.01296439,1.55806947,1.55527222
0.01302298,1.56095862,1.55718505
0.01308156,1.56411338,1.55928564
0.01314015,1.56769860,1.56171715
0.01319873,1.57135165,1.56437993
0.01325732,1.57486665,1.56713736
0.0133159,1.57775307,1.56991398
0.01337449,1.58049071,1.57265472
0.01343308,1.58254671,1.57487786
0.01349166,1.58367336,1.57646239
0.01355025,1.58187485,1.57564855
0.01360883,1.57947326,1.57439196
0.01366742,1.57169807,1.56864607
0.013726,1.56107664,1.56040633
0.01378459,1.54133224,1.54414308
0.01384318,1.52052355,1.52676582
0.01390176,1.48622203,1.49567568
0.01396035,1.44625425,1.45830095
0.01401893,1.39625812,1.40971088
0.01407752,1.33141088,1.34427810
0.0141361,1.25633466,1.26702893
0.01419469,1.17201447,1.17931998
0.01425328,1.07051921,1.07400095
0.01431186,0.96423626,0.96374381
0.01437045,0.83433330,0.82980686
0.01442903,0.69272125,0.68552434
0.01448762,0.53674728,0.52868521
0.01454621,0.37210640,0.36645991
0.01460479,0.20994250,0.20681138
0.01466338,0.10886805,0.10788254
0.01472196,0.01368467,0.01419842
0.01478055,0.01730539,0.01626333
0.01483913,0.02124178,0.02046524
0.01489772,0.01253388,0.01229340
0.01495631,0.00000000,0.00000000
0.01501489,0.00000000,0.00000000
0.01507348,0.00000000,0.00000000
0.01513206,0.00000000,0.00000000
0.01519065,0.00000000,0.00000000
0.01524923,0.00000000,0.00000000
0.01530782,0.00000000,0.00000000
0.01536641,0.00000000,0.00000000
0.01542499,0.00000000,0.00000000
