 Y [ m ], Velocity [ m s^-1 ]
0.0050249998,0.0826240480
0.0050400151,0.0828438476
0.0050550299,0.0830638707
0.0050700447,0.0832841471
0.0050850594,0.0835046396
0.0051000742,0.0837253779
0.0051150890,0.0839463323
0.0051301038,0.0841675252
0.0051451186,0.0843889415
0.0051601334,0.0846105888
0.0051751481,0.0848324522
0.0051901629,0.0850545317
0.0052051777,0.0852768496
0.0052201925,0.0854993612
0.0052352073,0.0857327133
0.0052502220,0.0859850943
0.0052652368,0.0862375498
0.0052802516,0.0864901021
0.0052952664,0.0867427439
0.0053102812,0.0869954601
0.0053252960,0.0872482732
0.0053403107,0.0875011608
0.0053553255,0.0877541378
0.0053703403,0.0880071968
0.0053853551,0.0882603377
0.0054003699,0.0885135531
0.0054153847,0.0887668580
0.0054303994,0.0890202373
0.0054454142,0.0892737061
0.0054604290,0.0895272419
0.0054754438,0.0897808596
0.0054904586,0.0900345519
0.0055054734,0.0902883187
0.0055204881,0.0905421749
0.0055355029,0.0907960907
0.0055505177,0.0910500884
0.0055655325,0.0913041607
0.0055805473,0.0915583074
0.0055955620,0.0918125212
0.0056105768,0.0920668170
0.0056255916,0.0923211798
0.0056406064,0.0925756097
0.0056556212,0.0928301141
0.0056706360,0.0930846781
0.0056856507,0.0933393314
0.0057006655,0.0935940444
0.0057156803,0.0938488096
0.0057306951,0.0941036642
0.0057457099,0.0943585709
0.0057607247,0.0946135595
0.0057757394,0.0948686004
0.0057907542,0.0951237157
0.0058057690,0.0953788981
0.0058207838,0.0956341401
0.0058357986,0.0958894491
0.0058508134,0.0961448103
0.0058658281,0.0964002460
0.0058808429,0.0966557339
0.0058958577,0.0969112962
0.0059108725,0.0971669108
0.0059258873,0.0974225923
0.0059409020,0.0976783261
0.0059559168,0.0979939848
0.0059709316,0.0983355790
0.0059859464,0.0986776799
0.0060009612,0.0990203023
0.0060159760,0.0993633866
0.0060309907,0.0997070000
0.0060460055,0.1000510901
0.0060610203,0.1003956720
0.0060760351,0.1007407010
0.0060910499,0.1010862216
0.0061060647,0.1014322266
0.0061210794,0.1017923802
0.0061360942,0.1022029668
0.0061511090,0.1026138887
0.0061661238,0.1030251086
0.0061811386,0.1034366414
0.0061961534,0.1038484722
0.0062111681,0.1042606160
0.0062261829,0.1046730429
0.0062411977,0.1050857827
0.0062562125,0.1054987982
0.0062712273,0.1059121266
0.0062862420,0.1063257158
0.0063012568,0.1067395881
0.0063162716,0.1071537435
0.0063312864,0.1075681746
0.0063463012,0.1079828665
0.0063613160,0.1083978415
0.0063763307,0.1088130772
0.0063913455,0.1092285663
0.0064063603,0.1096443310
0.0064213751,0.1100603491
0.0064363899,0.1104765981
0.0064514047,0.1108931080
0.0064664194,0.1113098860
0.0064814342,0.1117268950
0.0064964490,0.1121441349
0.0065114638,0.1125616208
0.0065264786,0.1129793525
0.0065414933,0.1133973226
0.0065565081,0.1138155088
0.0065715229,0.1142339334
0.0065865377,0.1146525815
0.0066015525,0.1150714606
0.0066165673,0.1154905409
0.0066315820,0.1159098521
0.0066465968,0.1163293868
0.0066616116,0.1167491376
0.0066766264,0.1171690971
0.0066916412,0.1175892577
0.0067066560,0.1180096269
0.0067216707,0.1184302196
0.0067366855,0.1188509911
0.0067517003,0.1192719787
0.0067667151,0.1196931601
0.0067817299,0.1201145425
0.0067967447,0.1205669195
0.0068117594,0.1210749149
0.0068267742,0.1216255650
0.0068417890,0.1221766621
0.0068568038,0.1227282062
0.0068718186,0.1232801899
0.0068868333,0.1238326207
0.0069018481,0.1243854687
0.0069168629,0.1249387562
0.0069318777,0.1254924536
0.0069468925,0.1260465533
0.0069619073,0.1266010702
0.0069769220,0.1271560043
0.0069919368,0.1277113259
0.0070069516,0.1282670200
0.0070219664,0.1288231313
0.0070369812,0.1293796003
0.0070519960,0.1299364716
0.0070670107,0.1304936707
0.0070820255,0.1311032176
0.0070970403,0.1318105906
0.0071120551,0.1325186789
0.0071270699,0.1332275271
0.0071420847,0.1339370906
0.0071570994,0.1346473545
0.0071721142,0.1353583187
0.0071871290,0.1360699832
0.0072021438,0.1367823184
0.0072171586,0.1374953240
0.0072321733,0.1382090151
0.0072471881,0.1389233023
0.0072622029,0.1396382749
0.0072772177,0.1403538287
0.0072922325,0.1410700530
0.0073072473,0.1417868584
0.0073222620,0.1425042599
0.0073372768,0.1432222575
0.0073522916,0.1439408362
0.0073673064,0.1446599960
0.0073823212,0.1453797072
0.0073973360,0.1460999847
0.0074123507,0.1468207985
0.0074273655,0.1475421637
0.0074423803,0.1482640505
0.0074573951,0.1489864737
0.0074724099,0.1497094035
0.0074874246,0.1504328698
0.0075024394,0.1511568129
0.0075174542,0.1518812627
0.0075324690,0.1526061893
0.0075474838,0.1533316076
