 Y [ m ], Velocity [ m s^-1 ]
0.0050249998,0.0080464510
0.0050400151,0.0080116764
0.0050550299,0.0079771020
0.0050700447,0.0079427287
0.0050850594,0.0079085585
0.0051000742,0.0078745959
0.0051150890,0.0078408420
0.0051301038,0.0078072990
0.0051451186,0.0077739712
0.0051601334,0.0077408608
0.0051751481,0.0077079707
0.0051901629,0.0076753036
0.0052051777,0.0076428624
0.0052201925,0.0076106498
0.0052352073,0.0076011554
0.0052502220,0.0076319384
0.0052652368,0.0076628961
0.0052802516,0.0076940255
0.0052952664,0.0077253268
0.0053102812,0.0077567953
0.0053252960,0.0077884300
0.0053403107,0.0078202290
0.0053553255,0.0078521902
0.0053703403,0.0078843115
0.0053853551,0.0079165911
0.0054003699,0.0079490272
0.0054153847,0.0079816179
0.0054303994,0.0080143604
0.0054454142,0.0080472538
0.0054604290,0.0080802971
0.0054754438,0.0081134867
0.0054904586,0.0081468215
0.0055054734,0.0081802988
0.0055204881,0.0082139187
0.0055355029,0.0082476782
0.0055505177,0.0082815764
0.0055655325,0.0083156116
0.0055805473,0.0083497819
0.0055955620,0.0083840843
0.0056105768,0.0084185181
0.0056255916,0.0084530832
0.0056406064,0.0084877750
0.0056556212,0.0085225953
0.0056706360,0.0085575404
0.0056856507,0.0085926084
0.0057006655,0.0086277993
0.0057156803,0.0086631123
0.0057306951,0.0086985426
0.0057457099,0.0087340921
0.0057607247,0.0087697571
0.0057757394,0.0088055367
0.0057907542,0.0088414317
0.0058057690,0.0088774376
0.0058207838,0.0089135543
0.0058357986,0.0089497818
0.0058508134,0.0089861164
0.0058658281,0.0090225572
0.0058808429,0.0090591051
0.0058958577,0.0090957563
0.0059108725,0.0091325110
0.0059258873,0.0091693681
0.0059409020,0.0092063248
0.0059559168,0.0091287559
0.0059709316,0.0090038953
0.0059859464,0.0088808788
0.0060009612,0.0087597826
0.0060159760,0.0086406879
0.0060309907,0.0085236793
0.0060460055,0.0084088417
0.0060610203,0.0082962690
0.0060760351,0.0081860507
0.0060910499,0.0080782864
0.0061060647,0.0079730721
0.0061210794,0.0078919642
0.0061360942,0.0078906687
0.0061511090,0.0078899320
0.0061661238,0.0078897551
0.0061811386,0.0078901378
0.0061961534,0.0078910794
0.0062111681,0.0078925798
0.0062261829,0.0078946389
0.0062411977,0.0078972569
0.0062562125,0.0079004318
0.0062712273,0.0079041645
0.0062862420,0.0079084523
0.0063012568,0.0079132970
0.0063162716,0.0079186950
0.0063312864,0.0079246461
0.0063463012,0.0079311496
0.0063613160,0.0079382034
0.0063763307,0.0079458067
0.0063913455,0.0079539567
0.0064063603,0.0079626534
0.0064213751,0.0079718940
0.0064363899,0.0079816766
0.0064514047,0.0079919994
0.0064664194,0.0080028614
0.0064814342,0.0080142580
0.0064964490,0.0080261882
0.0065114638,0.0080386503
0.0065264786,0.0080516413
0.0065414933,0.0080651576
0.0065565081,0.0080791982
0.0065715229,0.0080937603
0.0065865377,0.0081088394
0.0066015525,0.0081244344
0.0066165673,0.0081405416
0.0066315820,0.0081571573
0.0066465968,0.0081742797
0.0066616116,0.0081919050
0.0066766264,0.0082100295
0.0066916412,0.0082286503
0.0067066560,0.0082477648
0.0067216707,0.0082673691
0.0067366855,0.0082874587
0.0067517003,0.0083080307
0.0067667151,0.0083290823
0.0067817299,0.0083506089
0.0067967447,0.0083819320
0.0068117594,0.0081246151
0.0068267742,0.0078718131
0.0068417890,0.0076437015
0.0068568038,0.0074425535
0.0068718186,0.0072706076
0.0068868333,0.0071299751
0.0069018481,0.0070225382
0.0069168629,0.0069498369
0.0069318777,0.0069129667
0.0069468925,0.0069125015
0.0069619073,0.0069484478
0.0069769220,0.0070202467
0.0069919368,0.0071268156
0.0070069516,0.0072666239
0.0070219664,0.0074377977
0.0070369812,0.0076382286
0.0070519960,0.0078656804
0.0070670107,0.0081178816
0.0070820255,0.0083505604
0.0070970403,0.0085203173
0.0071120551,0.0087025026
0.0071270699,0.0088963546
0.0071420847,0.0091011282
0.0071570994,0.0093161007
0.0071721142,0.0095405849
0.0071871290,0.0097739259
0.0072021438,0.0100155016
0.0072171586,0.0102647338
0.0072321733,0.0105210776
0.0072471881,0.0107840253
0.0072622029,0.0110531040
0.0072772177,0.0113278814
0.0072922325,0.0116079487
0.0073072473,0.0118929334
0.0073222620,0.0121824909
0.0073372768,0.0124763027
0.0073522916,0.0127740735
0.0073673064,0.0130755343
0.0073823212,0.0133804381
0.0073973360,0.0136885522
0.0074123507,0.0139996633
0.0074273655,0.0143135777
0.0074423803,0.0146301156
0.0074573951,0.0149491085
0.0074724099,0.0152704054
0.0074874246,0.0155938603
0.0075024394,0.0159193445
0.0075174542,0.0162467361
0.0075324690,0.0165759195
0.0075474838,0.0169067923
0.0075624986,0.0172392521
0.0075775133,0.0175732169
0.0075925281,0.0179085992
0.0076075429,0.0182453208
0.0076225577,0.0185833070
0.0076375725,0.0189224910
0.0076525873,0.0192628130
0.0076676020,0.0196042079
0.0076826168,0.0199466255
0.0076976316,0.0202900115
0.0077126464,0.0206684824
0.0077276612,0.0220447034
0.0077426760,0.0234230403
0.0077576907,0.0248031337
0.0077727055,0.0261847153
0.0077877203,0.0275675487
0.0078027351,0.0289514642
0.0078177499,0.0303363074
0.0078327646,0.0317219645
0.0078477794,0.0331083238
0.0078627942,0.0344953090
0.0078778090,0.0358828418
0.0078928238,0.0372708663
