x (mm),V (m/s)
-4.29521,0
-4.07494,0
-3.85467,0
-3.6344,0
-3.41414,0
-3.19387,0
-2.9736,0
-2.75334,0
-2.53307,0
-2.3128,0
-2.09253,0
-1.87227,0
-1.652,0
-1.43173,0
-1.21147,0
-0.991198,0
-0.770931,0
-0.550664,0
-0.330397,0
-0.11013,0
0.110138,0
0.330405,0
0.550672,0
0.770939,0
0.991206,0
1.21147,0
1.43174,0
1.65201,0
1.87228,0
2.09254,0
2.31281,0
2.53308,0
2.75334,0.026342542
2.97361,0.129060416
3.19388,0.188801532
3.41415,0.283454942
3.63441,0.382009192
3.85468,0.490531079
4.07495,0.608610322
4.29521,0.716877491
4.51548,0.815106692
4.73575,0.906019887
4.95602,0.973166012
5.17628,1.010116376
5.39655,1.024403179
5.61682,1.017292554
5.83708,0.993848769
6.05735,0.954794126
6.27762,0.875633265
6.49789,0.775731033
6.71815,0.67922376
6.93842,0.570999301
7.15869,0.454951657
7.37896,0.354243836
7.59922,0.254867342
7.81949,0.158014291
8.03976,0.124588279
8.26002,0.079697873
8.48029,0
8.70056,0
8.92083,0
9.14109,0
9.36136,0
9.58163,0
9.80189,0
10.0222,0
10.2424,0
10.4627,0
10.683,0
10.9032,0
11.1235,0
11.3438,0
11.564,0
11.7843,0
12.0046,0
12.2248,0
12.4451,0
12.6654,0
12.8856,0
13.1059,0
13.3262,0
13.5464,0
13.7667,0
13.987,0
14.2072,0
14.4275,0
14.6478,0
14.868,0
15.0883,0
15.3086,0
15.5288,0
15.7491,0
15.9694,0
16.1896,0
16.4099,0
16.6302,0
16.8504,0
17.0707,0
17.291,0
17.5112,0
