x (mm),V (m/s)
-4.29521,0
-4.07494,0
-3.85467,0
-3.6344,0
-3.41414,0
-3.19387,0
-2.9736,0
-2.75334,0
-2.53307,0
-2.3128,0
-2.09253,0
-1.87227,0
-1.652,0
-1.43173,0
-1.21147,0
-0.991198,0
-0.770931,0
-0.550664,0
-0.330397,0
-0.11013,0
0.110138,0
0.330405,0
0.550672,0
0.770939,0
0.991206,0
1.21147,0
1.43174,0
1.65201,0
1.87228,0
2.09254,0
2.31281,0
2.53308,0
2.75334,0
2.97361,0.267731909
3.19388,0.331090942
3.41415,0.487284982
3.63441,0.695006681
3.85468,0.917687857
4.07495,1.136504095
4.29521,1.334814523
4.51548,1.491704014
4.73575,1.611774789
4.95602,1.711066761
5.17628,1.790141997
5.39655,1.856053576
5.61682,1.916798988
5.83708,1.953906462
6.05735,1.947285019
6.27762,1.891715602
6.49789,1.767636098
6.71815,1.566050065
6.93842,1.309376947
7.15869,1.032840249
7.37896,0.763659746
7.59922,0.565065455
7.81949,0.530979697
8.03976,0
8.26002,0
8.48029,0
8.70056,0
8.92083,0
9.14109,0
9.36136,0
9.58163,0
9.80189,0
10.0222,0
10.2424,0
10.4627,0
10.683,0
10.9032,0
11.1235,0
11.3438,0
11.564,0
11.7843,0
12.0046,0
12.2248,0
12.4451,0
12.6654,0
12.8856,0
13.1059,0
13.3262,0
13.5464,0
13.7667,0
13.987,0
14.2072,0
14.4275,0
14.6478,0
14.868,0
15.0883,0
15.3086,0
15.5288,0
15.7491,0
15.9694,0
16.1896,0
16.4099,0
16.6302,0
16.8504,0
17.0707,0
17.291,0
17.5112,0
