[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0079789823
0.0000000000,0.0045282007,0.0469250008,0.0079573151
0.0000000000,0.0045314012,0.0469250008,0.0079602413
0.0000000000,0.0045346017,0.0469250008,0.0079631722
0.0000000000,0.0045378022,0.0469250008,0.0079661086
0.0000000000,0.0045410027,0.0469250008,0.0079690516
0.0000000000,0.0045442032,0.0469250008,0.0079720393
0.0000000000,0.0045474037,0.0469250008,0.0079750335
0.0000000000,0.0045506041,0.0469250008,0.0079780305
0.0000000000,0.0045538046,0.0469250008,0.0079810331
0.0000000000,0.0045570051,0.0469250008,0.0079840394
0.0000000000,0.0045602056,0.0469250008,0.0079870522
0.0000000000,0.0045634061,0.0469250008,0.0079900688
0.0000000000,0.0045666066,0.0469250008,0.0079930909
0.0000000000,0.0045698071,0.0469250008,0.0079961177
0.0000000000,0.0045730076,0.0469250008,0.0079991492
0.0000000000,0.0045762081,0.0469250008,0.0080021843
0.0000000000,0.0045794086,0.0469250008,0.0080052260
0.0000000000,0.0045826091,0.0469250008,0.0080082715
0.0000000000,0.0045858095,0.0469250008,0.0080113215
0.0000000000,0.0045890100,0.0469250008,0.0080143763
0.0000000000,0.0045922105,0.0469250008,0.0080174953
0.0000000000,0.0045954110,0.0469250008,0.0080208126
0.0000000000,0.0045986115,0.0469250008,0.0080241337
0.0000000000,0.0046018120,0.0469250008,0.0080274595
0.0000000000,0.0046050125,0.0469250008,0.0080307890
0.0000000000,0.0046082130,0.0469250008,0.0080341231
0.0000000000,0.0046114135,0.0469250008,0.0080374619
0.0000000000,0.0046146140,0.0469250008,0.0080408053
0.0000000000,0.0046178144,0.0469250008,0.0080441535
0.0000000000,0.0046210149,0.0469250008,0.0080475053
0.0000000000,0.0046242154,0.0469250008,0.0080508618
0.0000000000,0.0046274159,0.0469250008,0.0080542229
0.0000000000,0.0046306164,0.0469250008,0.0080575878
0.0000000000,0.0046338169,0.0469250008,0.0080609582
0.0000000000,0.0046370174,0.0469250008,0.0080643333
0.0000000000,0.0046402179,0.0469250008,0.0080677122
0.0000000000,0.0046434184,0.0469250008,0.0080710957
0.0000000000,0.0046466189,0.0469250008,0.0080744820
0.0000000000,0.0046498193,0.0469250008,0.0080778748
0.0000000000,0.0046530198,0.0469250008,0.0080812713
0.0000000000,0.0046562203,0.0469250008,0.0080846706
0.0000000000,0.0046594208,0.0469250008,0.0080880765
0.0000000000,0.0046626213,0.0469250008,0.0080914870
0.0000000000,0.0046658218,0.0469250008,0.0080949012
0.0000000000,0.0046690223,0.0469250008,0.0080983201
0.0000000000,0.0046722228,0.0469250008,0.0081017427
0.0000000000,0.0046754233,0.0469250008,0.0081051691
0.0000000000,0.0046786238,0.0469250008,0.0081086010
0.0000000000,0.0046818242,0.0469250008,0.0081120357
0.0000000000,0.0046850247,0.0469250008,0.0081154769
0.0000000000,0.0046882252,0.0469250008,0.0081189210
0.0000000000,0.0046914257,0.0469250008,0.0081223706
0.0000000000,0.0046946262,0.0469250008,0.0081258230
0.0000000000,0.0046978267,0.0469250008,0.0081292801
0.0000000000,0.0047010272,0.0469250008,0.0081327427
0.0000000000,0.0047042277,0.0469250008,0.0081362091
0.0000000000,0.0047074282,0.0469250008,0.0081396792
0.0000000000,0.0047106287,0.0469250008,0.0081431251
0.0000000000,0.0047138291,0.0469250008,0.0081464769
0.0000000000,0.0047170296,0.0469250008,0.0081498353
0.0000000000,0.0047202301,0.0469250008,0.0081531964
0.0000000000,0.0047234306,0.0469250008,0.0081565622
0.0000000000,0.0047266311,0.0469250008,0.0081599317
0.0000000000,0.0047298316,0.0469250008,0.0081633069
0.0000000000,0.0047330321,0.0469250008,0.0081666848
0.0000000000,0.0047362326,0.0469250008,0.0081700683
0.0000000000,0.0047394331,0.0469250008,0.0081734555
0.0000000000,0.0047426336,0.0469250008,0.0081768464
0.0000000000,0.0047458340,0.0469250008,0.0081801321
0.0000000000,0.0047490345,0.0469250008,0.0081852032
0.0000000000,0.0047522350,0.0469250008,0.0081900964
0.0000000000,0.0047554355,0.0469250008,0.0081949923
