 Y [ m ], Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0,0
0.00968359,0,0
0.00974217,0,0
0.00980076,0,0
0.00985934,0,0
0.00991793,0,0
0.00997651,0,0
0.0100351,0,0
0.01009369,0,0
0.01015227,0.01869462,0.01605389
0.01021086,0.01993982,0.02038719
0.01026944,0.05656271,0.05423319
0.01032803,0.02409861,0.02237898
0.01038662,0.12173733,0.11995999
0.0104452,0.43492061,0.42235699
0.01050379,0.78345948,0.75903612
0.01056237,1.13441718,1.10325694
0.01062096,1.46195698,1.42963028
0.01067954,1.73047721,1.70767748
0.01073813,1.97330117,1.96323526
0.01079672,2.18618584,2.19158745
0.0108553,2.3711307,2.39289045
0.01091389,2.53043032,2.56356764
0.01097247,2.6741786,2.71463394
0.01103106,2.78466511,2.82429862
0.01108964,2.88647604,2.92315149
0.01114823,2.95797634,2.98435402
0.01120682,3.02578378,3.04099512
0.0112654,3.06320286,3.06830406
0.01132399,3.09574389,3.09094739
0.01138257,3.10935545,3.10023975
0.01144116,3.11557126,3.10440302
0.01149974,3.11683345,3.1043334
0.01155833,3.11708069,3.10309696
0.01161692,3.1146431,3.09887362
0.0116755,3.11220193,3.09464288
0.01173409,3.10637879,3.08916426
0.01179267,3.1004703,3.08364415
0.01185126,3.09374499,3.0786078
0.01190985,3.08683228,3.07377577
0.01196843,3.07999969,3.06978893
0.01202702,3.07318854,3.06593633
0.0120856,3.06732464,3.06301999
0.01214419,3.06173444,3.06029058
0.01220277,3.05749559,3.05823565
0.01226136,3.05375624,3.05640864
0.01231995,3.05102777,3.05510235
0.01237853,3.04886484,3.05403852
0.01243712,3.04768133,3.05342579
0.0124957,3.04700327,3.05304456
0.01255429,3.04704952,3.0530405
0.01261287,3.04780459,3.05340552
0.01267146,3.04911709,3.05403399
0.01273005,3.05131817,3.0551064
0.01278863,3.05407476,3.05642724
0.01284722,3.05777502,3.05819535
0.0129058,3.06221485,3.06033707
0.01296439,3.06758523,3.06298971
0.01302298,3.07350183,3.06606078
0.01308156,3.08005095,3.06969142
0.01314015,3.08687878,3.07393432
0.01319873,3.09384704,3.07867336
0.01325732,3.10044956,3.08375192
0.0133159,3.10649872,3.08919835
0.01337449,3.11189866,3.094486
0.01343308,3.11496186,3.09882092
0.01349166,3.11745453,3.10275102
0.01355025,3.11718035,3.10410953
0.01360883,3.11511326,3.10364628
0.01366742,3.10853124,3.09950471
0.013726,3.09273005,3.08897591
0.01378459,3.07107759,3.07390046
0.01384318,3.02502584,3.03860903
0.01390176,2.96826816,2.99220657
0.01396035,2.89165354,2.9248662
0.01401893,2.79515648,2.83330655
0.01407752,2.68237233,2.72181082
0.0141361,2.5396378,2.5729599
0.01419469,2.38182545,2.40580487
0.01425328,2.19067693,2.20002961
0.01431186,1.9803952,1.97486603
0.01437045,1.74324191,1.72374988
0.01442903,1.46663535,1.43948519
0.01448762,1.15894175,1.12913191
0.01454621,0.78895873,0.76737964
0.01460479,0.41257793,0.40186301
0.01466338,0.1101812,0.10903377
0.01472196,0.02604062,0.02473726
0.01478055,0.05159803,0.0496326
0.01483913,0.02362737,0.02331849
0.01489772,0.01504385,0.01314448
0.01495631,0,0
0.01501489,0,0
0.01507348,0,0
0.01513206,0,0
0.01519065,0,0
0.01524923,0,0
0.01530782,0,0
0.01536641,0,0
0.01542499,0,0
