 Y [ m ],Tol_4_ Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00968359,0.00000000,0
0.00974217,0.00000000,0
0.00980076,0.00000000,0
0.00985934,0.00000000,0
0.00991793,0.00000000,0
0.00997651,0.00000000,0
0.0100351,0.00000000,0
0.01009369,0.00000000,0
0.01015227,0.05728536,0.06011497
0.01021086,0.24189378,0.2322468
0.01026944,0.43287057,0.40849918
0.01032803,0.62990803,0.58897728
0.01038662,0.81918621,0.76642907
0.0104452,1.00244093,0.94201761
0.01050379,1.17900872,1.11572087
0.01056237,1.34408748,1.28555632
0.01062096,1.49939656,1.45173121
0.01067954,1.64787400,1.61456168
0.01073813,1.78901982,1.77281761
0.01079672,1.92112148,1.92363465
0.0108553,2.04588079,2.06694603
0.01091389,2.16371465,2.20347953
0.01097247,2.27152872,2.3265481
0.01103106,2.37367153,2.44303489
0.01108964,2.46431422,2.54239035
0.01114823,2.55215311,2.63695693
0.01120682,2.62999892,2.71457028
0.0112654,2.70124865,2.7824645
0.01132399,2.76510429,2.83962202
0.01138257,2.81894064,2.88275003
0.01144116,2.86902046,2.92080903
0.01149974,2.90968943,2.94675493
0.01155833,2.94538546,2.96695066
0.01161692,2.97617936,2.98153663
0.0116755,2.99873829,2.99012208
0.01173409,3.01822734,2.99657798
0.01179267,3.02951574,2.99884176
0.01185126,3.03791785,3.00027251
0.01190985,3.04150796,3.00031042
0.01196843,3.04337645,2.99953961
0.01202702,3.04440546,2.9983809
0.0120856,3.04451394,2.99667168
0.01214419,3.04441953,2.99494219
0.01220277,3.04384732,2.99319196
0.01226136,3.04303718,2.99161005
0.01231995,3.04206157,2.99014592
0.01237853,3.04140902,2.9891336
0.01243712,3.04088902,2.98829985
0.0124957,3.04075003,2.98797464
0.01255429,3.04083133,2.98797703
0.01261287,3.04111791,2.98830557
0.01267146,3.04154181,2.98912001
0.01273005,3.04204631,2.99011683
0.01278863,3.04273295,2.99156952
0.01284722,3.04357290,2.99315071
0.0129058,3.04465175,2.99491501
0.01296439,3.04491806,2.99666739
0.01302298,3.04494262,2.99839973
0.01308156,3.04409266,2.99960542
0.01314015,3.04265904,3.00045753
0.01319873,3.03963065,3.00048828
0.01325732,3.03154373,2.99910045
0.0133159,3.02055955,2.99689794
0.01337449,3.00075769,2.99081087
0.01343308,2.97781873,2.98257637
0.01349166,2.94813895,2.96901298
0.01355025,2.91167259,2.94854021
0.01360883,2.87068629,2.92318153
0.01366742,2.82067966,2.88617587
0.013726,2.76571965,2.8422575
0.01378459,2.70330381,2.78781438
0.01384318,2.63281226,2.72128892
0.01390176,2.55324793,2.64023185
0.01396035,2.46769953,2.54953527
0.01401893,2.37592220,2.44887781
0.01407752,2.27350640,2.33169961
0.0141361,2.16567945,2.20857215
0.01419469,2.04765177,2.07433295
0.01425328,1.92094064,1.92802572
0.01431186,1.78875780,1.77698958
0.01437045,1.64980352,1.61991143
0.01442903,1.50088859,1.45690453
0.01448762,1.34373522,1.2897985
0.01454621,1.17882097,1.11929512
0.01460479,1.00334716,0.9452762
0.01466338,0.81924582,0.76863641
0.01472196,0.63039976,0.59040082
0.01478055,0.43284827,0.40898582
0.01483913,0.24148400,0.23112571
0.01489772,0.05818257,0.05934294
0.01495631,0.00000000,0
0.01501489,0.00000000,0
0.01507348,0.00000000,0
0.01513206,0.00000000,0
0.01519065,0.00000000,0
0.01524923,0.00000000,0
0.01530782,0.00000000,0
0.01536641,0.00000000,0
0.01542499,0.00000000,0
