 Y [ m ],Tol_4_ Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00968359,0.00000000,0
0.00974217,0.00000000,0
0.00980076,0.00000000,0
0.00985934,0.00000000,0
0.00991793,0.00000000,0
0.00997651,0.00000000,0
0.0100351,0.00000000,0
0.01009369,0.00000000,0
0.01015227,0.02195339,0.02523315
0.01021086,0.11235461,0.11157542
0.01026944,0.20357513,0.19802184
0.01032803,0.29545772,0.28464803
0.01038662,0.38396010,0.36874604
0.0104452,0.47013757,0.45135102
0.01050379,0.55385447,0.53248233
0.01056237,0.63317007,0.61107999
0.01062096,0.70882034,0.68782061
0.01067954,0.78178096,0.76302683
0.01073813,0.85170293,0.83629036
0.01079672,0.91797626,0.90697712
0.0108553,0.98136294,0.97539634
0.01091389,1.04203212,1.04180145
0.01097247,1.09913027,1.10459054
0.01103106,1.15405846,1.16561568
0.01108964,1.20468748,1.22188544
0.01114823,1.25438321,1.27672315
0.01120682,1.30066442,1.32666588
0.0112654,1.34443057,1.37352443
0.01132399,1.38534713,1.41695952
0.01138257,1.42239892,1.45524478
0.01144116,1.45823157,1.4915154
0.01149974,1.49139392,1.52253532
0.01155833,1.52208102,1.55037689
0.01161692,1.55041516,1.57514989
0.0116755,1.57597125,1.59569907
0.01173409,1.60038567,1.61461949
0.01179267,1.62083876,1.6288861
0.01185126,1.63998008,1.64168608
0.01190985,1.65692890,1.65203238
0.01196843,1.67169893,1.66021526
0.01202702,1.68542719,1.66736138
0.0120856,1.69607162,1.67209208
0.01214419,1.70592010,1.67628145
0.01220277,1.71393311,1.67923725
0.01226136,1.72045803,1.68147898
0.01231995,1.72594190,1.6832211
0.01237853,1.72934175,1.68420041
0.01243712,1.73207426,1.68497097
0.0124957,1.73305655,1.68524385
0.01255429,1.73305368,1.68524218
0.01261287,1.73207259,1.68496728
0.01267146,1.72951758,1.68420947
0.01273005,1.72630274,1.68324196
0.01278863,1.72091091,1.68153608
0.01284722,1.71449828,1.67931747
0.0129058,1.70664728,1.6763736
0.01296439,1.69671690,1.67220557
0.01302298,1.68589568,1.66748285
0.01308156,1.67220819,1.66039228
0.01314015,1.65751028,1.65231216
0.01319873,1.64050341,1.64200795
0.01325732,1.62117720,1.62917185
0.0133159,1.60050046,1.61485434
0.01337449,1.57628322,1.5960505
0.01343308,1.55080676,1.57555652
0.01349166,1.52241266,1.55116451
0.01355025,1.49148417,1.52291667
0.01360883,1.45896077,1.49211669
0.01366742,1.42341793,1.45619607
0.013726,1.38566732,1.4175359
0.01378459,1.34492719,1.37494659
0.01384318,1.30103981,1.32833588
0.01390176,1.25409138,1.27716148
0.01396035,1.20511520,1.22328186
0.01401893,1.15412116,1.16657305
0.01407752,1.09946418,1.10538042
0.0141361,1.04262173,1.04256833
0.01419469,0.98168761,0.97669226
0.01425328,0.91735619,0.9073599
0.01431186,0.85090649,0.83652884
0.01437045,0.78183430,0.76375455
0.01442903,0.70887434,0.68864387
0.01448762,0.63264567,0.6116184
0.01454621,0.55334681,0.5328145
0.01460479,0.47021678,0.45180941
0.01466338,0.38373557,0.36887652
0.01472196,0.29537040,0.28470364
0.01478055,0.20317025,0.19771855
0.01483913,0.11217844,0.11084785
0.01489772,0.02259567,0.02478931
0.01495631,0.00000000,0
0.01501489,0.00000000,0
0.01507348,0.00000000,0
0.01513206,0.00000000,0
0.01519065,0.00000000,0
0.01524923,0.00000000,0
0.01530782,0.00000000,0
0.01536641,0.00000000,0
0.01542499,0.00000000,0
