 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.009625,0,0.00000000
0.00968359,0,0.00000000
0.00974217,0,0.00000000
0.00980076,0,0.00000000
0.00985934,0,0.00000000
0.00991793,0,0.00000000
0.00997651,0,0.00000000
0.0100351,0,0.00000000
0.01009369,0,0.00000000
0.01015227,0.00555095,0.00528115
0.01021086,0.00725732,0.00683082
0.01026944,0.00433586,0.00384016
0.01032803,0.01463403,0.01485530
0.01038662,0.05019196,0.04971170
0.0104452,0.10126846,0.09976006
0.01050379,0.16565731,0.16304792
0.01056237,0.23662679,0.23312180
0.01062096,0.30580762,0.30228049
0.01067954,0.37301701,0.36976400
0.01073813,0.4319666,0.42998168
0.01079672,0.48775122,0.48718166
0.0108553,0.53862816,0.53969759
0.01091389,0.58330762,0.58589250
0.01097247,0.62532216,0.62935829
0.01103106,0.6637612,0.66904104
0.01108964,0.69592851,0.70183253
0.01114823,0.72711957,0.73354501
0.01120682,0.75222415,0.75850070
0.0112654,0.77512896,0.78102320
0.01132399,0.79432529,0.79948509
0.01138257,0.81034434,0.81444329
0.01144116,0.82448828,0.82734108
0.01149974,0.83471406,0.83614165
0.01155833,0.84417641,0.84413803
0.01161692,0.85107154,0.84957165
0.0116755,0.85636181,0.85362035
0.01173409,0.86021829,0.85651004
0.01179267,0.86249495,0.85812747
0.01185126,0.86392939,0.85911411
0.01190985,0.8647002,0.85957748
0.01196843,0.86493939,0.85950840
0.01202702,0.86489195,0.85924971
0.0120856,0.86451197,0.85882151
0.01214419,0.86396527,0.85827476
0.01220277,0.86340529,0.85772532
0.01226136,0.86272115,0.85718703
0.01231995,0.86213505,0.85674924
0.01237853,0.8616389,0.85639369
0.01243712,0.86128503,0.85615510
0.0124957,0.86106861,0.85601234
0.01255429,0.8610276,0.85598868
0.01261287,0.86125636,0.85614008
0.01267146,0.86164534,0.85639358
0.01273005,0.86216587,0.85675085
0.01278863,0.86283302,0.85722697
0.01284722,0.8635,0.85775518
0.0129058,0.86416197,0.85831863
0.01296439,0.86469269,0.85886461
0.01302298,0.86508369,0.85929793
0.01308156,0.86536133,0.85963798
0.01314015,0.86516708,0.85962904
0.01319873,0.86426872,0.85919607
0.01325732,0.86268121,0.85828763
0.0133159,0.8595587,0.85625887
0.01337449,0.85608983,0.85394871
0.01343308,0.85086149,0.84987903
0.01349166,0.84443063,0.84470206
0.01355025,0.83462656,0.83629107
0.01360883,0.82441491,0.82746041
0.01366742,0.81018472,0.81436074
0.013726,0.79451722,0.79967290
0.01378459,0.77425176,0.77988660
0.01384318,0.75350976,0.75957125
0.01390176,0.72673142,0.73265171
0.01396035,0.69767845,0.70322913
0.01401893,0.66463941,0.66939342
0.01407752,0.62625015,0.62983412
0.0141361,0.58425534,0.58630365
0.01419469,0.53920847,0.53945094
0.01425328,0.48763737,0.48661345
0.01431186,0.43438956,0.43222350
0.01437045,0.37223202,0.36917660
0.01442903,0.30651182,0.30298778
0.01448762,0.23622654,0.23278384
0.01454621,0.16576478,0.16334236
0.01460479,0.09704281,0.09566957
0.01466338,0.05359599,0.05315262
0.01472196,0.0107658,0.01118071
0.01478055,0.00307275,0.00266971
0.01483913,0.00670569,0.00629944
0.01489772,0.00468056,0.00445721
0.01495631,0,0.00000000
0.01501489,0,0.00000000
0.01507348,0,0.00000000
0.01513206,0,0.00000000
0.01519065,0,0.00000000
0.01524923,0,0.00000000
0.01530782,0,0.00000000
0.01536641,0,0.00000000
0.01542499,0,0.00000000
