 Y [ m ], Velocity [ m s^-1 ]
0.0050249998,0.0268632602
0.0050400151,0.0269622374
0.0050550299,0.0270652976
0.0050700447,0.0271723941
0.0050850594,0.0272834767
0.0051000742,0.0273984950
0.0051150890,0.0275173988
0.0051301038,0.0276401471
0.0051451186,0.0277666841
0.0051601334,0.0278969556
0.0051751481,0.0280309077
0.0051901629,0.0281684957
0.0052051777,0.0283096638
0.0052201925,0.0284543559
0.0052352073,0.0286496133
0.0052502220,0.0289309006
0.0052652368,0.0292135924
0.0052802516,0.0294976439
0.0052952664,0.0297830235
0.0053102812,0.0300696921
0.0053252960,0.0303576067
0.0053403107,0.0306467377
0.0053553255,0.0309370514
0.0053703403,0.0312285107
0.0053853551,0.0315210857
0.0054003699,0.0318147503
0.0054153847,0.0321094655
0.0054303994,0.0324052125
0.0054454142,0.0327019542
0.0054604290,0.0329996720
0.0054754438,0.0332983360
0.0054904586,0.0335979164
0.0055054734,0.0338983908
0.0055204881,0.0341997445
0.0055355029,0.0345019475
0.0055505177,0.0348049738
0.0055655325,0.0351088084
0.0055805473,0.0354134291
0.0055955620,0.0357188210
0.0056105768,0.0360249504
0.0056255916,0.0363318101
0.0056406064,0.0366393775
0.0056556212,0.0369476378
0.0056706360,0.0372565687
0.0056856507,0.0375661589
0.0057006655,0.0378763899
0.0057156803,0.0381872468
0.0057306951,0.0384987146
0.0057457099,0.0388107784
0.0057607247,0.0391234234
0.0057757394,0.0394366309
0.0057907542,0.0397504009
0.0058057690,0.0400647074
0.0058207838,0.0403795503
0.0058357986,0.0406949036
0.0058508134,0.0410107598
0.0058658281,0.0413271114
0.0058808429,0.0416439399
0.0058958577,0.0419612415
0.0059108725,0.0422790088
0.0059258873,0.0425972156
0.0059409020,0.0429158695
0.0059559168,0.0431672521
0.0059709316,0.0434009507
0.0059859464,0.0436474979
0.0060009612,0.0439066701
0.0060159760,0.0441782475
0.0060309907,0.0444620065
0.0060460055,0.0447577052
0.0060610203,0.0450651273
0.0060760351,0.0453840159
0.0060910499,0.0457141437
0.0061060647,0.0460552610
0.0061210794,0.0464187674
0.0061360942,0.0468298458
0.0061511090,0.0472423509
0.0061661238,0.0476562418
0.0061811386,0.0480714962
0.0061961534,0.0484880619
0.0062111681,0.0489059202
0.0062261829,0.0493250266
0.0062411977,0.0497453585
0.0062562125,0.0501668826
0.0062712273,0.0505895577
0.0062862420,0.0510133728
0.0063012568,0.0514382944
0.0063162716,0.0518642887
0.0063312864,0.0522913337
0.0063463012,0.0527194031
0.0063613160,0.0531484820
0.0063763307,0.0535785295
0.0063913455,0.0540095232
0.0064063603,0.0544414595
0.0064213751,0.0548743010
0.0064363899,0.0553080291
0.0064514047,0.0557426177
0.0064664194,0.0561780557
0.0064814342,0.0566143245
0.0064964490,0.0570514016
0.0065114638,0.0574892610
0.0065264786,0.0579278991
0.0065414933,0.0583672859
0.0065565081,0.0588074140
0.0065715229,0.0592482612
0.0065865377,0.0596898124
0.0066015525,0.0601320602
0.0066165673,0.0605749749
0.0066315820,0.0610185415
0.0066465968,0.0614627674
0.0066616116,0.0619076230
0.0066766264,0.0623530895
0.0066916412,0.0627991632
0.0067066560,0.0632458329
0.0067216707,0.0636930764
0.0067366855,0.0641408786
0.0067517003,0.0645892471
0.0067667151,0.0650381669
0.0067817299,0.0654876083
0.0067967447,0.0659623519
0.0068117594,0.0662523061
0.0068267742,0.0665580109
0.0068417890,0.0668679848
0.0068568038,0.0671822131
0.0068718186,0.0675006360
0.0068868333,0.0678231716
0.0069018481,0.0681497604
0.0069168629,0.0684803650
0.0069318777,0.0688149184
0.0069468925,0.0691533610
0.0069619073,0.0694956407
0.0069769220,0.0698416904
0.0069919368,0.0701914579
0.0070069516,0.0705449134
0.0070219664,0.0709019527
0.0070369812,0.0712625682
0.0070519960,0.0716266781
0.0070670107,0.0719942376
0.0070820255,0.0723437443
0.0070970403,0.0726542026
0.0071120551,0.0729647130
0.0071270699,0.0732752755
