 Y [ m ], Velocity [ m s^-1 ]
0.0050249998,0.0220037587
0.0050400151,0.0220601261
0.0050550299,0.0221176855
0.0050700447,0.0221764334
0.0050850594,0.0222363584
0.0051000742,0.0222974475
0.0051150890,0.0223596916
0.0051301038,0.0224230886
0.0051451186,0.0224876218
0.0051601334,0.0225532837
0.0051751481,0.0226200614
0.0051901629,0.0226879511
0.0052051777,0.0227569398
0.0052201925,0.0228270162
0.0052352073,0.0229470711
0.0052502220,0.0231549833
0.0052652368,0.0233633779
0.0052802516,0.0235722456
0.0052952664,0.0237815734
0.0053102812,0.0239913482
0.0053252960,0.0242015626
0.0053403107,0.0244121999
0.0053553255,0.0246232506
0.0053703403,0.0248347074
0.0053853551,0.0250465572
0.0054003699,0.0252587907
0.0054153847,0.0254713967
0.0054303994,0.0256843697
0.0054454142,0.0258976966
0.0054604290,0.0261113700
0.0054754438,0.0263253823
0.0054904586,0.0265397262
0.0055054734,0.0267543904
0.0055204881,0.0269693714
0.0055355029,0.0271846596
0.0055505177,0.0274002478
0.0055655325,0.0276161283
0.0055805473,0.0278322939
0.0055955620,0.0280487407
0.0056105768,0.0282654595
0.0056255916,0.0284824464
0.0056406064,0.0286996923
0.0056556212,0.0289171953
0.0056706360,0.0291349441
0.0056856507,0.0293529406
0.0057006655,0.0295711737
0.0057156803,0.0297896415
0.0057306951,0.0300083365
0.0057457099,0.0302272514
0.0057607247,0.0304463878
0.0057757394,0.0306657366
0.0057907542,0.0308852941
0.0058057690,0.0311050601
0.0058207838,0.0313250236
0.0058357986,0.0315451808
0.0058508134,0.0317655355
0.0058658281,0.0319860727
0.0058808429,0.0322067961
0.0058958577,0.0324276984
0.0059108725,0.0326487795
0.0059258873,0.0328700319
0.0059409020,0.0330914557
0.0059559168,0.0331868902
0.0059709316,0.0332343765
0.0059859464,0.0332886018
0.0060009612,0.0333495289
0.0060159760,0.0334171131
0.0060309907,0.0334913321
0.0060460055,0.0335721299
0.0060610203,0.0336594656
0.0060760351,0.0337532759
0.0060910499,0.0338535160
0.0061060647,0.0339601338
0.0061210794,0.0341063216
0.0061360942,0.0343775377
0.0061511090,0.0346504040
0.0061661238,0.0349248722
0.0061811386,0.0352009125
0.0061961534,0.0354784839
0.0062111681,0.0357575491
0.0062261829,0.0360380746
0.0062411977,0.0363200344
0.0062562125,0.0366033800
0.0062712273,0.0368880965
0.0062862420,0.0371741429
0.0063012568,0.0374614857
0.0063162716,0.0377501026
0.0063312864,0.0380399637
0.0063463012,0.0383310355
0.0063613160,0.0386232920
0.0063763307,0.0389167145
0.0063913455,0.0392112657
0.0064063603,0.0395069271
0.0064213751,0.0398036726
0.0064363899,0.0401014760
0.0064514047,0.0404003114
0.0064664194,0.0407001674
0.0064814342,0.0410010181
0.0064964490,0.0413028300
0.0065114638,0.0416055918
0.0065264786,0.0419092812
0.0065414933,0.0422138833
0.0065565081,0.0425193682
0.0065715229,0.0428257249
0.0065865377,0.0431329310
0.0066015525,0.0434409752
0.0066165673,0.0437498279
0.0066315820,0.0440594777
0.0066465968,0.0443699174
0.0066616116,0.0446811095
0.0066766264,0.0449930616
0.0066916412,0.0453057438
0.0067066560,0.0456191450
0.0067216707,0.0459332503
0.0067366855,0.0462480411
0.0067517003,0.0465635099
0.0067667151,0.0468796380
0.0067817299,0.0471964180
0.0067967447,0.0475349836
0.0068117594,0.0473305248
0.0068267742,0.0471104197
0.0068417890,0.0469030626
0.0068568038,0.0467086509
0.0068718186,0.0465273298
0.0068868333,0.0463592522
0.0069018481,0.0462045670
0.0069168629,0.0460634120
0.0069318777,0.0459359102
0.0069468925,0.0458221734
0.0069619073,0.0457223058
0.0069769220,0.0456364006
0.0069919368,0.0455645248
0.0070069516,0.0455067605
0.0070219664,0.0454631560
0.0070369812,0.0454337522
0.0070519960,0.0454185754
0.0070670107,0.0454176366
0.0070820255,0.0454304628
0.0070970403,0.0454498716
0.0071120551,0.0454734974
0.0071270699,0.0455013290
0.0071420847,0.0455333628
0.0071570994,0.0455695912
0.0071721142,0.0456099920
0.0071871290,0.0456545688
0.0072021438,0.0457033068
0.0072171586,0.0457561836
0.0072321733,0.0458131917
0.0072471881,0.0458743162
0.0072622029,0.0459395386
0.0072772177,0.0460088439
0.0072922325,0.0460822098
0.0073072473,0.0461596213
0.0073222620,0.0462410562
0.0073372768,0.0463264920
0.0073522916,0.0464159064
0.0073673064,0.0465092808
0.0073823212,0.0466065854
0.0073973360,0.0467078015
0.0074123507,0.0468128957
0.0074273655,0.0469218493
0.0074423803,0.0470346324
0.0074573951,0.0471512228
0.0074724099,0.0472715832
0.0074874246,0.0473956913
0.0075024394,0.0475235134
0.0075174542,0.0476550274
0.0075324690,0.0477901921
0.0075474838,0.0479289852
0.0075624986,0.0480713695
0.0075775133,0.0482173190
0.0075925281,0.0483667962
0.0076075429,0.0485197715
0.0076225577,0.0486762077
0.0076375725,0.0488360785
0.0076525873,0.0489993468
0.0076676020,0.0491659716
0.0076826168,0.0493359379
0.0076976316,0.0495091900
0.0077126464,0.0496915020
0.0077276612,0.0501158871
0.0077426760,0.0506763421
0.0077576907,0.0513684191
0.0077727055,0.0521868728
0.0077877203,0.0531258695
0.0078027351,0.0541791394
0.0078177499,0.0553401597
0.0078327646,0.0566022955
0.0078477794,0.0579589456
0.0078627942,0.0594036356
0.0078778090,0.0609300993
0.0078928238,0.0625323579
0.0079078386,0.0642047152
0.0079228533,0.0659418628
0.0079378681,0.0677388087
0.0079528829,0.0695909187
0.0079678977,0.0714938939
0.0079829125,0.0734438077
0.0079979273,0.0754369944
0.0080129420,0.0774701312
0.0080279568,0.0795401409
0.0080429716,0.0816442296
0.0080579864,0.0837798342
0.0080730012,0.0859446004
0.0080880160,0.0881363675
0.0081030307,0.0903531760
0.0081180455,0.0925932303
0.0081330603,0.0946322307
0.0081480751,0.0964739993
0.0081630899,0.0983349457
0.0081781046,0.1002139598
0.0081931194,0.1021100506
0.0082081342,0.1040222794
0.0082231490,0.1059497893
0.0082381638,0.1078917533
0.0082531786,0.1098473966
0.0082681933,0.1118159965
0.0082832081,0.1137969047
0.0082982229,0.1157894656
0.0083132377,0.1177931130
0.0083282525,0.1198072732
0.0083432673,0.1218314320
0.0083582820,0.1238650680
0.0083732968,0.1259077787
0.0083883116,0.1279591024
0.0084033264,0.1300186068
0.0084183412,0.1320859492
0.0084333559,0.1341607571
0.0084483707,0.1362426430
0.0084633855,0.1383313537
0.0084784003,0.1404265761
0.0084934151,0.1425279677
0.0085084299,0.1446353197
0.0085234446,0.1467483342
0.0085384594,0.1488668025
0.0085534742,0.1509904862
0.0085684890,0.1555399001
0.0085835038,0.1613758206
0.0085985186,0.1672169715
0.0086135333,0.1730628759
0.0086285481,0.1789130420
0.0086435629,0.1847670823
0.0086585777,0.1906246245
0.0086735925,0.1964853406
0.0086886073,0.2023489922
0.0087036220,0.2082153112
0.0087186368,0.2140840739
0.0087336516,0.2199550569
0.0087486664,0.2258281708
0.0087636812,0.2317031622
0.0087786959,0.2375799567
0.0087937107,0.2434583604
0.0088087255,0.2493383288
0.0088237403,0.2552197278
0.0088387551,0.2611024380
0.0088537699,0.2669864297
0.0088687846,0.2728715241
0.0088837994,0.2787577212
0.0088988142,0.2846449614
0.0089138290,0.2905331552
0.0089288438,0.2964222431
0.0089438586,0.3023121655
0.0089588733,0.3082029223
0.0089738881,0.3140943945
0.0089889029,0.3199866414
0.0090039177,0.3258794844
0.0090189325,0.3317730129
0.0090339473,0.3376671076
0.0090489620,0.3435617983
0.0090639768,0.3494570255
0.0090789916,0.3553527892
0.0090940064,0.3612490296
0.0091090212,0.3671457470
0.0091240359,0.3730429113
0.0091390507,0.3789404929
0.0091540655,0.3848385513
0.0091690803,0.3905225694
0.0091840951,0.3960852921
0.0091991099,0.4016486108
0.0092141246,0.4072123766
0.0092291394,0.4127767086
0.0092441542,0.4183415473
0.0092591690,0.4239067733
0.0092741838,0.4294725359
0.0092891986,0.4350386858
0.0093042133,0.4406052232
0.0093192281,0.4461721778
0.0093342429,0.4517395794
0.0093492577,0.4575640857
0.0093642725,0.4649612904
0.0093792873,0.4723586440
0.0093943020,0.4797561169
0.0094093168,0.4871535897
0.0094243316,0.4945511818
0.0094393464,0.5019488931
0.0094543612,0.5093466044
0.0094693759,0.5167444348
0.0094843907,0.5241423845
0.0094994055,0.5315403342
0.0095144203,0.5389383435
0.0095294351,0.5463364720
0.0095444499,0.5537346005
0.0095594646,0.5611328483
0.0095744794,0.5685311556
0.0095894942,0.5759294629
0.0096045090,0.5833278298
0.0096195238,0.5907262564
0.0096345386,0.5981247425
0.0096495533,0.6058410406
0.0096645681,0.6136959791
0.0096795829,0.6215510368
0.0096945977,0.6294063330
0.0097096125,0.6372618079
0.0097246272,0.6451173425
0.0097396420,0.6529730558
0.0097546568,0.6608288884
0.0097696716,0.6686848402
0.0097846864,0.6765409112
0.0097997012,0.6843971610
0.0098147159,0.6922535300
0.0098297307,0.7001100183
0.0098447455,0.7079665661
0.0098597603,0.7158232927
0.0098747751,0.7236800194
0.0098897899,0.7315369248
0.0099048046,0.7393938899
0.0099198194,0.7472510338
0.0099348342,0.7551082373
0.0099498490,0.7629654408
0.0099648638,0.7708228231
0.0099798786,0.7786803246
0.0099948933,0.7865377665
0.0100099081,0.7943953872
0.0100249229,0.8022530675
0.0100399377,0.8101108074
0.0100549525,0.8179687262
0.0100699672,0.8252547979
0.0100849820,0.8322967887
0.0100999968,0.8393393755
0.0101150116,0.8463824391
0.0101300264,0.8534259796
0.0101450412,0.8604701161
0.0101600559,0.8675146699
0.0101750707,0.8745597601
0.0101900855,0.8816053271
0.0102051003,0.8886513710
0.0102201151,0.8956977725
0.0102351299,0.9027447701
0.0102501446,0.9097920656
0.0102651594,0.9168398976
0.0102801742,0.9238880873
0.0102951890,0.9309366345
0.0103102038,0.9379856587
0.0103252186,0.9450350404
0.0103402333,0.9520848393
0.0103552481,0.9591348767
0.0103702629,0.9661853910
0.0103852777,0.9732362032
0.0104002925,0.9802873731
0.0104153072,0.9873389006
0.0104303220,0.9943907857
0.0104453368,1.0014429092
0.0104603516,1.0084953308
0.0104753664,1.0155481100
0.0104903812,1.0226012468
0.0105053959,1.0296547413
0.0105204107,1.0367083549
0.0105354255,1.0437623262
0.0105504403,1.0508565903
0.0105654551,1.0580065250
0.0105804699,1.0651566982
0.0105954846,1.0723072290
0.0106104994,1.0794578791
0.0106255142,1.0866091251
0.0106405290,1.0937606096
0.0106555438,1.1009122133
0.0106705585,1.1080641747
0.0106855733,1.1152166128
0.0107005881,1.1223691702
0.0107156029,1.1295220852
0.0107306177,1.1366751194
0.0107456325,1.1438286304
0.0107606472,1.1509822607
0.0107756620,1.1581360102
0.0107906768,1.1652902365
0.0108056916,1.1724445820
0.0108207064,1.1795992851
0.0108357212,1.1867541075
0.0108507359,1.1939092875
0.0108657507,1.2010645866
0.0108807655,1.2082200050
0.0108957803,1.2153757811
0.0109107951,1.2225316763
0.0109258099,1.2290710211
0.0109408246,1.2332808971
0.0109558394,1.2371071577
0.0109708542,1.2409341335
0.0109858690,1.2447612286
0.0110008838,1.2485888004
0.0110158985,1.2524170876
0.0110309133,1.2562456131
0.0110459281,1.2600746155
0.0110609429,1.2639039755
0.0110759577,1.2677338123
0.0110909725,1.2715640068
0.0111059872,1.2753945589
0.0111210020,1.2792255878
0.0111360168,1.2830569744
0.0111510316,1.2868888378
0.0111660464,1.2907210588
0.0111810612,1.2945538759
0.0111960759,1.2983868122
0.0112110907,1.3022201061
0.0112261055,1.3060539961
0.0112411203,1.3098880053
0.0112561351,1.3137224913
0.0112711499,1.3175574541
0.0112861646,1.3213926554
0.0113011794,1.3252284527
0.0113161942,1.3290643692
0.0113312090,1.3329007626
0.0113462238,1.3367375135
0.0113612385,1.3405746222
0.0113762533,1.3444117308
0.0113912681,1.3482496738
0.0114062829,1.3520877361
0.0114212977,1.3560036421
0.0114363125,1.3599247932
0.0114513272,1.3638464212
0.0114663420,1.3677684069
0.0114813568,1.3716908693
0.0114963716,1.3756138086
0.0115113864,1.3795372248
0.0115264012,1.3834608793
0.0115414159,1.3873852491
0.0115564307,1.3913099766
0.0115714455,1.3952350616
0.0115864603,1.3991607428
0.0116014751,1.4030867815
0.0116164899,1.4070131779
0.0116315046,1.4109400511
0.0116465194,1.4148674011
0.0116615342,1.4187949896
0.0116765490,1.4227232933
0.0116915638,1.4266517162
0.0117065785,1.4305807352
0.0117215933,1.4345099926
0.0117366081,1.4384397268
0.0117516229,1.4423698187
0.0117666377,1.4463003874
0.0117816525,1.4502313137
0.0117966672,1.4541625977
0.0118116820,1.4580942392
0.0118266968,1.4620263577
0.0118417116,1.4659588337
0.0118567264,1.4698915482
0.0118717412,1.4738247395
0.0118867559,1.4777582884
0.0119017707,1.4816921949
0.0119167855,1.4856265783
0.0119318003,1.4892009497
0.0119468151,1.4894853830
0.0119618298,1.4897046089
0.0119768446,1.4899238348
0.0119918594,1.4901436567
0.0120068742,1.4903638363
0.0120218890,1.4905840158
0.0120369038,1.4908046722
0.0120519185,1.4910255671
0.0120669333,1.4912467003
0.0120819481,1.4914681911
0.0120969629,1.4916899204
0.0121119777,1.4919120073
0.0121269925,1.4921344519
0.0121420072,1.4923570156
0.0121570220,1.4925800562
0.0121720368,1.4928033352
0.0121870516,1.4930269718
0.0122020664,1.4932507277
0.0122170812,1.4934747219
0.0122320959,1.4936993122
0.0122471107,1.4939237833
0.0122621255,1.4941489697
0.0122771403,1.4943745136
0.0122921551,1.4945998192
0.0123071698,1.4948256016
0.0123221846,1.4950517416
0.0123371994,1.4951338768
0.0123522142,1.4943248034
0.0123672290,1.4935158491
0.0123822438,1.4927073717
0.0123972585,1.4918990135
0.0124122733,1.4910912514
0.0124272881,1.4902838469
0.0124423029,1.4894764423
0.0124573177,1.4886693954
0.0124723325,1.4878628254
0.0124873472,1.4870567322
0.0125023620,1.4862506390
0.0125173768,1.4854450226
0.0125323916,1.4846396446
0.0125474064,1.4838347435
0.0125624212,1.4830299616
0.0125774359,1.4822255373
0.0125924507,1.4814215899
0.0126074655,1.4806177616
0.0126224803,1.4798145294
0.0126374951,1.4790114164
0.0126525098,1.4782087803
0.0126675246,1.4774062634
0.0126825394,1.4766041040
0.0126975542,1.4758023024
0.0127125690,1.4750010967
0.0127275838,1.4741998911
0.0127425985,1.4733990431
0.0127576133,1.4725986719
0.0127726281,1.4717985392
0.0127876429,1.4709988832
0.0128026577,1.4701993465
0.0128176725,1.4694001675
0.0128326872,1.4686013460
0.0128477020,1.4678030014
0.0128627168,1.4670047760
0.0128777316,1.4662069082
0.0128927464,1.4654095173
0.0129077611,1.4646124840
0.0129227759,1.4638156891
0.0129377907,1.4630192518
0.0129528055,1.4622230530
0.0129678203,1.4614273310
0.0129828351,1.4606318474
0.0129978498,1.4598368406
0.0130128646,1.4590419531
0.0130278794,1.4582475424
0.0130428942,1.4574534893
0.0130579090,1.4566597939
0.0130729238,1.4558664560
0.0130879385,1.4550732374
0.0131029533,1.4542806149
0.0131179681,1.4534882307
0.0131329829,1.4526963234
0.0131479977,1.4519045353
0.0131630125,1.4511131048
0.0131780272,1.4503220320
0.0131930420,1.4495314360
0.0132080568,1.4487411976
0.0132230716,1.4479511976
0.0132380864,1.4471615553
0.0132531011,1.4463722706
0.0132681159,1.4455834627
0.0132831307,1.4447947741
0.0132981455,1.4440066814
0.0133131603,1.4432185888
0.0133281751,1.4424312115
0.0133431898,1.4416439533
0.0133582046,1.4408572912
0.0133732194,1.4400707483
0.0133882342,1.4392846823
0.0134032490,1.4384987354
0.0134182638,1.4377133846
0.0134332785,1.4369285107
0.0134482933,1.4361437559
0.0134633081,1.4353592396
0.0134783229,1.4345754385
0.0134933377,1.4337917566
0.0135083525,1.4323328733
0.0135233672,1.4277530909
0.0135383820,1.4231737852
0.0135533968,1.4185944796
0.0135684116,1.4140158892
0.0135834264,1.4094375372
0.0135984411,1.4048593044
0.0136134559,1.4002815485
0.0136284707,1.3957042694
0.0136434855,1.3911273479
0.0136585003,1.3865506649
0.0136735151,1.3819743395
0.0136885298,1.3773984909
0.0137035446,1.3728230000
0.0137185594,1.3682478666
0.0137335742,1.3636729717
0.0137485890,1.3590985537
