X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Velocity [ m s^-1 ], Velocity w [ m s^-1 ]
0,0.004525,0.047993299,298.1499023,3.12086E-05,2.822E-07
0,0.004541016,0.047993299,298.1508789,0.000060558,-5.56448E-05
0,0.004557032,0.047993299,298.151886,0.000114712,-0.000113501
0,0.004573048,0.047993299,298.1529236,0.000172013,-0.000171766
0,0.004589064,0.047993299,298.1539002,0.000230234,-0.000230227
0,0.00460508,0.047993299,298.1549377,0.000289154,-0.000289094
0,0.004621096,0.047993299,298.1560059,0.000355917,-0.000355621
0,0.004637112,0.047993299,298.157074,0.000421036,-0.000420407
0,0.004653128,0.047993299,298.1580811,0.000482018,-0.000481017
0,0.004669144,0.047993299,298.1591187,0.000543035,-0.000541628
0,0.00468516,0.047993299,298.1601257,0.000603244,-0.000601257
0,0.004701176,0.047993299,298.1611633,0.000662244,-0.000659374
0,0.004717192,0.047993299,298.1622009,0.000721322,-0.00071749
0,0.004733208,0.047993299,298.1632385,0.000781289,-0.000776355
0,0.004749224,0.047993299,298.1642761,0.000841567,-0.000835446
0,0.00476524,0.047993299,298.1652832,0.000901895,-0.000894537
0,0.004781256,0.047993299,298.1663513,0.000962263,-0.000953629
0,0.004797272,0.047993299,298.1673889,0.001022664,-0.00101272
0,0.004813287,0.047993299,298.1684265,0.001083093,-0.001071811
0,0.004829303,0.047993299,298.1694946,0.001148477,-0.001135317
0,0.004845319,0.047993299,298.1706238,0.001215918,-0.001200608
0,0.004861335,0.047993299,298.1716614,0.001278319,-0.00126053
0,0.004877351,0.047993299,298.172699,0.001338147,-0.001317649
0,0.004893367,0.047993299,298.1737366,0.001398057,-0.001374769
0,0.004909383,0.047993299,298.1748047,0.001458041,-0.001431888
0,0.004925399,0.047993299,298.1758728,0.001518088,-0.001489008
0,0.004941415,0.047993299,298.1769409,0.001578193,-0.001546128
0,0.004957431,0.047993299,298.177948,0.001637266,-0.001601963
0,0.004973447,0.047993299,298.1790161,0.001699808,-0.001660379
0,0.004989463,0.047993299,298.1801148,0.001762445,-0.001718796
0,0.005005479,0.047993299,298.1811829,0.001825168,-0.001777213
0,0.005021495,0.047993299,298.182251,0.001890383,-0.001837703
0,0.005037511,0.047993299,298.1833801,0.001954137,-0.001895968
0,0.005053527,0.047993299,298.1844482,0.002016562,-0.001952533
0,0.005069543,0.047993299,298.1855469,0.00207911,-0.002009098
0,0.005085559,0.047993299,298.186615,0.00214177,-0.002065664
0,0.005101575,0.047993299,298.1877441,0.002204534,-0.002122229
0,0.005117591,0.047993299,298.1888428,0.002267392,-0.002178794
