X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0070931041
0.0000000000,0.0045282007,0.0469250008,0.0071205352
0.0000000000,0.0045314012,0.0469250008,0.0071238540
0.0000000000,0.0045346017,0.0469250008,0.0071271844
0.0000000000,0.0045378022,0.0469250008,0.0071305279
0.0000000000,0.0045410027,0.0469250008,0.0071338825
0.0000000000,0.0045442032,0.0469250008,0.0071372502
0.0000000000,0.0045474037,0.0469250008,0.0071406299
0.0000000000,0.0045506041,0.0469250008,0.0071440227
0.0000000000,0.0045538046,0.0469250008,0.0071474267
0.0000000000,0.0045570051,0.0469250008,0.0071508433
0.0000000000,0.0045602056,0.0469250008,0.0071542719
0.0000000000,0.0045634061,0.0469250008,0.0071577127
0.0000000000,0.0045666066,0.0469250008,0.0071611656
0.0000000000,0.0045698071,0.0469250008,0.0071646306
0.0000000000,0.0045730076,0.0469250008,0.0071681081
0.0000000000,0.0045762081,0.0469250008,0.0071715973
0.0000000000,0.0045794086,0.0469250008,0.0071750982
0.0000000000,0.0045826091,0.0469250008,0.0071786125
0.0000000000,0.0045858095,0.0469250008,0.0071820505
0.0000000000,0.0045890100,0.0469250008,0.0071853735
0.0000000000,0.0045922105,0.0469250008,0.0071887099
0.0000000000,0.0045954110,0.0469250008,0.0071920585
0.0000000000,0.0045986115,0.0469250008,0.0071954182
0.0000000000,0.0046018120,0.0469250008,0.0071987915
0.0000000000,0.0046050125,0.0469250008,0.0072021764
0.0000000000,0.0046082130,0.0469250008,0.0072055729
0.0000000000,0.0046114135,0.0469250008,0.0072089829
0.0000000000,0.0046146140,0.0469250008,0.0072124042
0.0000000000,0.0046178144,0.0469250008,0.0072158379
0.0000000000,0.0046210149,0.0469250008,0.0072192848
0.0000000000,0.0046242154,0.0469250008,0.0072227418
0.0000000000,0.0046274159,0.0469250008,0.0072262124
0.0000000000,0.0046306164,0.0469250008,0.0072296960
0.0000000000,0.0046338169,0.0469250008,0.0072331894
0.0000000000,0.0046370174,0.0469250008,0.0072366958
0.0000000000,0.0046402179,0.0469250008,0.0072402149
0.0000000000,0.0046434184,0.0469250008,0.0072437450
0.0000000000,0.0046466189,0.0469250008,0.0072473241
0.0000000000,0.0046498193,0.0469250008,0.0072510680
0.0000000000,0.0046530198,0.0469250008,0.0072548222
0.0000000000,0.0046562203,0.0469250008,0.0072586616
0.0000000000,0.0046594208,0.0469250008,0.0072625270
0.0000000000,0.0046626213,0.0469250008,0.0072664013
0.0000000000,0.0046658218,0.0469250008,0.0072702863
0.0000000000,0.0046690223,0.0469250008,0.0072741909
0.0000000000,0.0046722228,0.0469250008,0.0072793076
0.0000000000,0.0046754233,0.0469250008,0.0072844326
0.0000000000,0.0046786238,0.0469250008,0.0072895680
0.0000000000,0.0046818242,0.0469250008,0.0072947112
0.0000000000,0.0046850247,0.0469250008,0.0073000384
0.0000000000,0.0046882252,0.0469250008,0.0073056659
0.0000000000,0.0046914257,0.0469250008,0.0073113036
0.0000000000,0.0046946262,0.0469250008,0.0073169512
0.0000000000,0.0046978267,0.0469250008,0.0073226094
0.0000000000,0.0047010272,0.0469250008,0.0073282775
0.0000000000,0.0047042277,0.0469250008,0.0073339557
0.0000000000,0.0047074282,0.0469250008,0.0073396438
0.0000000000,0.0047106287,0.0469250008,0.0073453421
0.0000000000,0.0047138291,0.0469250008,0.0073510502
0.0000000000,0.0047170296,0.0469250008,0.0073567689
0.0000000000,0.0047202301,0.0469250008,0.0073624970
