x (mm),V (m/s)
2.75334,0.026342542
2.97361,0.129060416
3.19388,0.188801532
3.41415,0.283454942
3.63441,0.382009192
3.85468,0.490531079
4.07495,0.608610322
4.29521,0.716877491
4.51548,0.815106692
4.73575,0.906019887
4.95602,0.973166012
5.17628,1.010116376
5.39655,1.024403179
5.61682,1.017292554
5.83708,0.993848769
6.05735,0.954794126
6.27762,0.875633265
6.49789,0.775731033
6.71815,0.67922376
6.93842,0.570999301
7.15869,0.454951657
7.37896,0.354243836
7.59922,0.254867342
7.81949,0.158014291
8.03976,0.124588279
8.26002,0.079697873
