[Name],,,
Line1mm,,,
,,,
[Data],,,
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,0.0045250002,0.0469250008,0.0085037975
0.0000000000,0.0045282007,0.0469250008,0.0085064517
0.0000000000,0.0045314012,0.0469250008,0.0085091079
0.0000000000,0.0045346017,0.0469250008,0.0085117668
0.0000000000,0.0045378022,0.0469250008,0.0085144043
0.0000000000,0.0045410027,0.0469250008,0.0085170018
0.0000000000,0.0045442032,0.0469250008,0.0085195862
0.0000000000,0.0045474037,0.0469250008,0.0085221725
0.0000000000,0.0045506041,0.0469250008,0.0085247615
0.0000000000,0.0045538046,0.0469250008,0.0085273515
0.0000000000,0.0045570051,0.0469250008,0.0085299434
0.0000000000,0.0045602056,0.0469250008,0.0085325390
0.0000000000,0.0045634061,0.0469250008,0.0085351355
0.0000000000,0.0045666066,0.0469250008,0.0085377339
0.0000000000,0.0045698071,0.0469250008,0.0085403351
0.0000000000,0.0045730076,0.0469250008,0.0085429372
0.0000000000,0.0045762081,0.0469250008,0.0085458523
0.0000000000,0.0045794086,0.0469250008,0.0085490970
0.0000000000,0.0045826091,0.0469250008,0.0085523427
0.0000000000,0.0045858095,0.0469250008,0.0085555911
0.0000000000,0.0045890100,0.0469250008,0.0085588414
0.0000000000,0.0045922105,0.0469250008,0.0085620945
0.0000000000,0.0045954110,0.0469250008,0.0085653486
0.0000000000,0.0045986115,0.0469250008,0.0085686063
0.0000000000,0.0046018120,0.0469250008,0.0085718641
0.0000000000,0.0046050125,0.0469250008,0.0085751237
0.0000000000,0.0046082130,0.0469250008,0.0085783880
0.0000000000,0.0046114135,0.0469250008,0.0085816523
0.0000000000,0.0046146140,0.0469250008,0.0085849194
0.0000000000,0.0046178144,0.0469250008,0.0085881883
0.0000000000,0.0046210149,0.0469250008,0.0085914591
0.0000000000,0.0046242154,0.0469250008,0.0085947318
0.0000000000,0.0046274159,0.0469250008,0.0085980082
0.0000000000,0.0046306164,0.0469250008,0.0086012837
0.0000000000,0.0046338169,0.0469250008,0.0086045638
0.0000000000,0.0046370174,0.0469250008,0.0086078439
0.0000000000,0.0046402179,0.0469250008,0.0086111268
0.0000000000,0.0046434184,0.0469250008,0.0086144125
0.0000000000,0.0046466189,0.0469250008,0.0086176991
0.0000000000,0.0046498193,0.0469250008,0.0086209886
0.0000000000,0.0046530198,0.0469250008,0.0086242789
0.0000000000,0.0046562203,0.0469250008,0.0086275730
0.0000000000,0.0046594208,0.0469250008,0.0086308671
0.0000000000,0.0046626213,0.0469250008,0.0086344536
0.0000000000,0.0046658218,0.0469250008,0.0086380998
0.0000000000,0.0046690223,0.0469250008,0.0086417515
0.0000000000,0.0046722228,0.0469250008,0.0086454041
0.0000000000,0.0046754233,0.0469250008,0.0086490586
0.0000000000,0.0046786238,0.0469250008,0.0086527150
0.0000000000,0.0046818242,0.0469250008,0.0086567616
0.0000000000,0.0046850247,0.0469250008,0.0086608948
0.0000000000,0.0046882252,0.0469250008,0.0086650299
0.0000000000,0.0046914257,0.0469250008,0.0086690169
0.0000000000,0.0046946262,0.0469250008,0.0086732600
0.0000000000,0.0046978267,0.0469250008,0.0086773578
0.0000000000,0.0047010272,0.0469250008,0.0086814584
0.0000000000,0.0047042277,0.0469250008,0.0086855600
0.0000000000,0.0047074282,0.0469250008,0.0086897081
