,M2/COARSE (element size: 0.0004),M3(element size: 0.0003),M3-1(element size: 0.00028),M3-2(element size: 0.00026),M3-3(element size: 0.00024),M3-4(element size: 0.00022),M4(element size: 0.0002),M4-1(element size: 0.00018),M4-2 (element size: 0.00016),M4-3/Fine(element size: 0.00014)
Outlet,0.4484671056,0.4800675809,0.4873588979,0.4858745635,0.486558795,0.4859232605,0.4849308431,0.4813828468,0.4783957005,0.4755047262
1mm,0.9016487002,0.9635748863,0.9714137912,0.974383533,0.9788874984,0.9808701277,0.9830303192,0.9811467528,0.9814316034,0.9820649028
MP,0.9233294725,0.9813662171,0.9893264771,0.9928494096,0.9985442758,1.0003019571,0.9999402762,0.9995161891,0.9995657206,0.999979794
Tube,1.1620589495,1.2068858147,1.2135771513,1.2202329636,1.2300393581,1.2358351946,1.2386620045,1.2386188507,1.2420376539,1.2431833744
Coil 10,1.1523073912,1.1706091166,1.1910501719,1.1867597103,1.2161288261,1.2145109177,1.2110161781,1.209528327,1.2186489105,1.2183394432
Coil 5,1.0388847589,1.0373153687,1.0608043671,1.0608043671,1.0868192911,1.0851809978,1.0827891827,1.082685709,1.091989398,1.0914654732
Btw Coil 3&4,0.9787685871,0.9863193631,1.0001890659,0.9999269843,0.9863193631,0.9863193631,1.0263650417,1.0265169144,1.0356295109,1.0352528095
Coil 1,0.794587791,0.8125971556,0.8185800314,0.8196206093,0.8379161358,0.8385748863,0.8397940993,0.8410130143,0.8468196988,0.847483933
Inlet Tube,0.6719042659,0.6772097349,0.6790539026,0.6796046495,0.6841288805,0.6846312881,0.6853775382,0.6860074997,0.6876989603,0.6879201531
Total Nodes,362111.0,754301.0,909719.0,1115206.0,1395877.0,1787027.0,2354237.0,3193041.0,4500121.0,6663568.0
Total Elements,1723087.0,3993266.0,4897382.0,6096385.0,7735148.0,10022241.0,13328905.0,18250030.0,25940033.0,38678387.0
