 Y [ m ], Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00968359,0.00000000,0
0.00974217,0.00000000,0
0.00980076,0.00000000,0
0.00985934,0.00000000,0
0.00991793,0.00000000,0
0.00997651,0.00000000,0
0.0100351,0.00000000,0
0.01009369,0.00000000,0
0.01015227,0.00634256,0.0050136
0.01021086,0.00846657,0.00884157
0.01026944,0.02203462,0.02112527
0.01032803,0.00517476,0.00492364
0.01038662,0.05947740,0.05943407
0.0104452,0.19663113,0.19329496
0.01050379,0.34814471,0.34093913
0.01056237,0.50731134,0.49694034
0.01062096,0.65751016,0.64545518
0.01067954,0.78294384,0.77222311
0.01073813,0.89914477,0.89100891
0.01079672,1.00305104,0.99898475
0.0108553,1.09812367,1.09974694
0.01091389,1.18435574,1.1911732
0.01097247,1.26527333,1.27654576
0.01103106,1.33356798,1.34786224
0.01108964,1.39838541,1.41528988
0.01114823,1.45024037,1.4678148
0.01120682,1.50046873,1.51843703
0.0112654,1.53978133,1.55577195
0.01132399,1.57733977,1.59097719
0.01138257,1.60633290,1.61632979
0.01144116,1.63051486,1.63641131
0.01149974,1.64862728,1.65037382
0.01155833,1.66465533,1.66225278
0.01161692,1.67404044,1.66825283
0.0116755,1.68344331,1.67426431
0.01173409,1.68612015,1.67594409
0.01179267,1.68868411,1.67755187
0.01185126,1.68928397,1.67745197
0.01190985,1.68947375,1.67696965
0.01196843,1.68856192,1.67572808
0.01202702,1.68742633,1.67435682
0.0120856,1.68575168,1.67280591
0.01214419,1.68395042,1.67125452
0.01220277,1.68185937,1.66989076
0.01226136,1.67971623,1.66861379
0.01231995,1.67806602,1.66764355
0.01237853,1.67667186,1.66683137
0.01243712,1.67578816,1.66635299
0.0124957,1.67519879,1.66605246
0.01255429,1.67522049,1.66605055
0.01261287,1.67585194,1.66633964
0.01267146,1.67682946,1.66682875
0.01273005,1.67835772,1.66764545
0.01278863,1.68007100,1.66862392
0.01284722,1.68204212,1.66987002
0.0129058,1.68409419,1.67127454
0.01296439,1.68604398,1.67281854
0.01302298,1.68768096,1.67437732
0.01308156,1.68874013,1.67582929
0.01314015,1.68925023,1.67689979
0.01319873,1.68923414,1.67753947
0.01325732,1.68831420,1.67736161
0.0133159,1.68612993,1.67605984
0.01337449,1.68282402,1.67401803
0.01343308,1.67481458,1.66874766
0.01349166,1.66547012,1.66250777
0.01355025,1.64976037,1.65113521
0.01360883,1.63029325,1.63627982
0.01366742,1.60594738,1.61595035
0.013726,1.57583511,1.58890414
0.01378459,1.54325259,1.55901539
0.01384318,1.50097394,1.51793838
0.01390176,1.45433736,1.47148728
0.01396035,1.39969993,1.41548562
0.01401893,1.33663774,1.35057437
0.01407752,1.26698029,1.2784152
0.0141361,1.18645668,1.19380367
0.01419469,1.10058236,1.10336113
0.01425328,1.00365365,1.00144744
0.01431186,0.89975762,0.89311486
0.01437045,0.78673095,0.77666342
0.01442903,0.65646917,0.64539284
0.01448762,0.51284075,0.50251186
0.01454621,0.34952325,0.34268811
0.01460479,0.18570893,0.18276016
0.01466338,0.05308692,0.05337187
0.01472196,0.00645699,0.0064941
0.01478055,0.01939353,0.01862367
0.01483913,0.00937747,0.00935321
0.01489772,0.00511807,0.00422779
0.01495631,0.00000000,0
0.01501489,0.00000000,0
0.01507348,0.00000000,0
0.01513206,0.00000000,0
0.01519065,0.00000000,0
0.01524923,0.00000000,0
0.01530782,0.00000000,0
0.01536641,0.00000000,0
0.01542499,0.00000000,0
