 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0,0
0.00968359,0,0
0.00974217,0,0
0.00980076,0,0
0.00985934,0,0
0.00991793,0,0
0.00997651,0,0
0.0100351,0,0
0.01009369,0,0
0.01015227,0.01099669,0.01287511
0.01021086,0.05898355,0.05640902
0.01026944,0.10639936,0.09961884
0.01032803,0.1531665,0.14246818
0.01038662,0.1977419,0.18378368
0.0104452,0.24142666,0.22450142
0.01050379,0.28217927,0.26335302
0.01056237,0.32163113,0.30141914
0.01062096,0.3593123,0.33842006
0.01067954,0.39509675,0.37400445
0.01073813,0.43007979,0.40900218
0.01079672,0.46221897,0.44232273
0.0108553,0.49361843,0.47504014
0.01091389,0.52356762,0.50656462
0.01097247,0.55127895,0.53687572
0.01103106,0.57773185,0.56650776
0.01108964,0.60280693,0.5943774
0.01114823,0.62710965,0.62171161
0.01120682,0.6493156,0.64774007
0.0112654,0.67004162,0.67262691
0.01132399,0.68954867,0.69658482
0.01138257,0.70732576,0.71893615
0.01144116,0.72465998,0.74073505
0.01149974,0.74123025,0.76103801
0.01155833,0.75669068,0.78046864
0.01161692,0.77086616,0.7988863
0.0116755,0.7837128,0.81583107
0.01173409,0.79601502,0.8321867
0.01179267,0.80650681,0.84669858
0.01185126,0.81649274,0.86046231
0.01190985,0.82562381,0.87296438
0.01196843,0.83379585,0.88428128
0.01202702,0.84150785,0.89503211
0.0120856,0.84801954,0.90404892
0.01214419,0.85400689,0.9124313
0.01220277,0.85873848,0.91934025
0.01226136,0.86263615,0.92481709
0.01231995,0.86594582,0.92928368
0.01237853,0.86821473,0.93227172
0.01243712,0.87008107,0.93466705
0.0124957,0.87080801,0.93539625
0.01255429,0.87083918,0.93536353
0.01261287,0.87017584,0.93456978
0.01267146,0.86846215,0.93235505
0.01273005,0.86634964,0.92955714
0.01278863,0.86307579,0.92484421
0.01284722,0.85908335,0.91907626
0.0129058,0.85406172,0.91179454
0.01296439,0.84813988,0.9034304
0.01302298,0.84182489,0.8945936
0.01308156,0.83417058,0.88394743
0.01314015,0.82592863,0.872639
0.01319873,0.81645727,0.85993892
0.01325732,0.80622172,0.84605366
0.0133159,0.79552507,0.83146399
0.01337449,0.78295356,0.8153339
0.01343308,0.76993936,0.79860079
0.01349166,0.75595212,0.78027552
0.01355025,0.74072111,0.76091087
0.01360883,0.72443527,0.74065536
0.01366742,0.70689517,0.71885234
0.013726,0.68884337,0.69647479
0.01378459,0.66919667,0.67242467
0.01384318,0.64860255,0.64749801
0.01390176,0.62686247,0.62149501
0.01396035,0.60262722,0.59407765
0.01401893,0.57747382,0.56609529
0.01407752,0.550762,0.53646719
0.0141361,0.52311724,0.50628352
0.01419469,0.493819,0.47511524
0.01425328,0.46243361,0.44252011
0.01431186,0.42999306,0.40920746
0.01437045,0.39495066,0.37420893
0.01442903,0.35910842,0.33864594
0.01448762,0.32134813,0.30170643
0.01454621,0.28158435,0.26358974
0.01460479,0.24034584,0.22459957
0.01466338,0.19650978,0.18382363
0.01472196,0.15190595,0.14248797
0.01478055,0.10546801,0.09975013
0.01483913,0.05849752,0.05661286
0.01489772,0.0110859,0.01310884
0.01495631,0,0
0.01501489,0,0
0.01507348,0,0
0.01513206,0,0
0.01519065,0,0
0.01524923,0,0
0.01530782,0,0
0.01536641,0,0
0.01542499,0,0
