 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0.00000000,0
0.00968359,0.00000000,0
0.00974217,0.00000000,0
0.00980076,0.00000000,0
0.00985934,0.00000000,0
0.00991793,0.00000000,0
0.00997651,0.00000000,0
0.0100351,0.00000000,0
0.01009369,0.00000000,0
0.01015227,0.02547887,0.0307957
0.01021086,0.12079483,0.11918595
0.01026944,0.21636277,0.20760646
0.01032803,0.31196094,0.2959241
0.01038662,0.40299627,0.38078907
0.0104452,0.49210498,0.4643108
0.01050379,0.57457167,0.54365063
0.01056237,0.65403330,0.62122273
0.01062096,0.72940212,0.6963951
0.01067954,0.80041498,0.76835185
0.01073813,0.86959851,0.838974
0.01079672,0.93256295,0.90565032
0.0108553,0.99396527,0.97088277
0.01091389,1.05230975,1.03326058
0.01097247,1.10605717,1.09272742
0.01103106,1.15722024,1.150563
0.01108964,1.20534623,1.20387042
0.01114823,1.25201654,1.25585663
0.01120682,1.29480040,1.30463898
0.0112654,1.33476222,1.35062265
0.01132399,1.37239921,1.39433062
0.01138257,1.40650618,1.43396592
0.01144116,1.43973231,1.47219956
0.01149974,1.47152793,1.506639
0.01155833,1.50129271,1.53904068
0.01161692,1.52870810,1.56907701
0.0116755,1.55366898,1.59573114
0.01173409,1.57762277,1.62105775
0.01179267,1.59819782,1.64249861
0.01185126,1.61779392,1.66243923
0.01190985,1.63573718,1.67985892
0.01196843,1.65185940,1.69512117
0.01202702,1.66710651,1.70935524
0.0120856,1.68016970,1.72078621
0.01214419,1.69220412,1.73126674
0.01220277,1.70176303,1.739555
0.01226136,1.70955980,1.745839
0.01231995,1.71611357,1.75070906
0.01237853,1.72068632,1.75387621
0.01243712,1.72445738,1.7564038
0.0124957,1.72592449,1.75720489
0.01255429,1.72600770,1.7571367
0.01261287,1.72471035,1.75620079
0.01267146,1.72126436,1.75383854
0.01273005,1.71700299,1.75084472
0.01278863,1.71039391,1.74556577
0.01284722,1.70232356,1.73888314
0.0129058,1.69216537,1.73018682
0.01296439,1.68031096,1.71985328
0.01302298,1.66771138,1.70880163
0.01308156,1.65250862,1.6947552
0.01314015,1.63616550,1.67951906
0.01319873,1.61744130,1.66177595
0.01325732,1.59730256,1.64167905
0.0133159,1.57630825,1.62018228
0.01337449,1.55155194,1.5953089
0.01343308,1.52599335,1.5690769
0.01349166,1.49876475,1.5392375
0.01355025,1.46917617,1.50690591
0.01360883,1.43759191,1.47243464
0.01366742,1.40387249,1.43412769
0.013726,1.36923122,1.39440596
0.01378459,1.33160484,1.35060036
0.01384318,1.29207790,1.30454671
0.01390176,1.25025213,1.25573123
0.01396035,1.20360303,1.20349145
0.01401893,1.15516150,1.14986885
0.01407752,1.10346901,1.09206784
0.0141361,1.04991138,1.03291309
0.01419469,0.99304819,0.97135919
0.01425328,0.93171751,0.90634972
0.01431186,0.86812830,0.83960116
0.01437045,0.79903162,0.76907182
0.01442903,0.72797310,0.6971795
0.01448762,0.65211415,0.62192971
0.01454621,0.57196611,0.54412973
0.01460479,0.48865160,0.46443403
0.01466338,0.39921328,0.38062307
0.01472196,0.30810237,0.29555872
0.01478055,0.21328348,0.20743056
0.01483913,0.11893783,0.11926264
0.01489772,0.02531056,0.03119008
0.01495631,0.00000000,0
0.01501489,0.00000000,0
0.01507348,0.00000000,0
0.01513206,0.00000000,0
0.01519065,0.00000000,0
0.01524923,0.00000000,0
0.01530782,0.00000000,0
0.01536641,0.00000000,0
0.01542499,0.00000000,0
