 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.00962500,0.00000000,0.00000000
0.00963081,0.00000000,0.00000000
0.00963661,0.00000000,0.00000000
0.00964242,0.00000000,0.00000000
0.00964822,0.00000000,0.00000000
0.00965403,0.00000000,0.00000000
0.00965984,0.00000000,0.00000000
0.00966564,0.00000000,0.00000000
0.00967145,0.00000000,0.00000000
0.00967725,0.00000000,0.00000000
0.00968306,0.00000000,0.00000000
0.00968886,0.00000000,0.00000000
0.00969467,0.00000000,0.00000000
0.00970048,0.00000000,0.00000000
0.00970628,0.00000000,0.00000000
0.00971209,0.00000000,0.00000000
0.00971789,0.00000000,0.00000000
0.00972370,0.00000000,0.00000000
0.00972951,0.00000000,0.00000000
0.00973531,0.00000000,0.00000000
0.00974112,0.00000000,0.00000000
0.00974692,0.00000000,0.00000000
0.00975273,0.00000000,0.00000000
0.00975853,0.00000000,0.00000000
0.00976434,0.00000000,0.00000000
0.00977015,0.00000000,0.00000000
0.00977595,0.00000000,0.00000000
0.00978176,0.00000000,0.00000000
0.00978756,0.00000000,0.00000000
0.00979337,0.00000000,0.00000000
0.00979918,0.00000000,0.00000000
0.00980498,0.00000000,0.00000000
0.00981079,0.00000000,0.00000000
0.00981659,0.00000000,0.00000000
0.00982240,0.00000000,0.00000000
0.00982821,0.00000000,0.00000000
0.00983401,0.00000000,0.00000000
0.00983982,0.00000000,0.00000000
0.00984562,0.00000000,0.00000000
0.00985143,0.00000000,0.00000000
0.00985723,0.00000000,0.00000000
0.00986304,0.00000000,0.00000000
0.00986885,0.00000000,0.00000000
0.00987465,0.00000000,0.00000000
0.00988046,0.00000000,0.00000000
0.00988626,0.00000000,0.00000000
0.00989207,0.00000000,0.00000000
0.00989788,0.00000000,0.00000000
0.00990368,0.00000000,0.00000000
0.00990949,0.00000000,0.00000000
0.00991529,0.00000000,0.00000000
0.00992110,0.00000000,0.00000000
0.00992690,0.00000000,0.00000000
0.00993271,0.00000000,0.00000000
0.00993852,0.00000000,0.00000000
0.00994432,0.00000000,0.00000000
0.00995013,0.00000000,0.00000000
0.00995593,0.00000000,0.00000000
0.00996174,0.00000000,0.00000000
0.00996755,0.00000000,0.00000000
0.00997335,0.00000000,0.00000000
0.00997916,0.00000000,0.00000000
0.00998496,0.00000000,0.00000000
0.00999077,0.00000000,0.00000000
0.00999658,0.00000000,0.00000000
0.01000238,0.00000000,0.00000000
0.01000819,0.00000000,0.00000000
0.01001399,0.00000000,0.00000000
0.01001980,0.00000000,0.00000000
0.01002560,0.00000000,0.00000000
0.01003141,0.00000000,0.00000000
0.01003722,0.00000000,0.00000000
0.01004302,0.00000000,0.00000000
0.01004883,0.00000000,0.00000000
0.01005463,0.00000000,0.00000000
0.01006044,0.00000000,0.00000000
0.01006625,0.00000000,0.00000000
0.01007205,0.00000000,0.00000000
0.01007786,0.00000000,0.00000000
0.01008366,0.00000000,0.00000000
0.01008947,0.00000000,0.00000000
0.01009528,0.00000000,0.00000000
0.01010108,0.00000000,0.00000000
0.01010689,0.00000000,0.00000000
0.01011269,0.00000000,0.00000000
0.01011850,0.00000000,0.00000000
0.01012430,0.00000000,0.00000000
0.01013011,0.00000000,0.00000000
0.01013592,0.00000000,0.00000000
0.01014172,0.00000000,0.00000000
0.01014753,0.00000000,0.00000000
0.01015333,0.00000000,0.00000000
0.01015914,0.00000000,0.00000000
0.01016495,0.00000000,0.00000000
0.01017075,0.00000000,0.00000000
0.01017656,0.00000000,0.00000000
0.01018236,0.00000000,0.00000000
0.01018817,0.00000000,0.00000000
0.01019397,0.00000000,0.00000000
0.01019978,0.00000000,0.00000000
