 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.009625,0,0
0.00963081,0,0
0.00963661,0,0
0.00964242,0,0
0.00964822,0,0
0.00965403,0,0
0.00965984,0,0
0.00966564,0,0
0.00967145,0,0
0.00967725,0,0
0.00968306,0,0
0.00968886,0,0
0.00969467,0,0
0.00970048,0,0
0.00970628,0,0
0.00971209,0,0
0.00971789,0,0
0.0097237,0,0
0.00972951,0,0
0.00973531,0,0
0.00974112,0,0
0.00974692,0,0
0.00975273,0,0
0.00975853,0,0
0.00976434,0,0
0.00977015,0,0
0.00977595,0,0
0.00978176,0,0
0.00978756,0,0
0.00979337,0,0
0.00979918,0,0
0.00980498,0,0
0.00981079,0,0
0.00981659,0,0
0.0098224,0,0
0.00982821,0,0
0.00983401,0,0
0.00983982,0,0
0.00984562,0,0
0.00985143,0,0
0.00985723,0,0
0.00986304,0,0
0.00986885,0,0
0.00987465,0,0
0.00988046,0,0
0.00988626,0,0
0.00989207,0,0
0.00989788,0,0
0.00990368,0,0
0.00990949,0,0
0.00991529,0,0
0.0099211,0,0
0.0099269,0,0
0.00993271,0,0
0.00993852,0,0
0.00994432,0,0
0.00995013,0,0
0.00995593,0,0
0.00996174,0,0
0.00996755,0,0
0.00997335,0,0
0.00997916,0,0
0.00998496,0,0
0.00999077,0,0
0.00999658,0,0
0.01000238,0,0
0.01000819,0,0
0.01001399,0,0
0.0100198,0,0
0.0100256,0,0
0.01003141,0,0
0.01003722,0,0
0.01004302,0,0
0.01004883,0,0
0.01005463,0,0
0.01006044,0,0
0.01006625,0,0
0.01007205,0,0
0.01007786,0,0
0.01008366,0,0
0.01008947,0,0
0.01009528,0,0
0.01010108,0,0
0.01010689,0,0
0.01011269,0,0
0.0101185,0,0
0.0101243,0,0
0.01013011,0,0
0.01013592,0,0
0.01014172,1.01260746,0.99888188
0.01014753,1.05130899,1.03825319
0.01015333,1.09002268,1.07763731
0.01015914,1.12874758,1.11703241
0.01016495,1.16748273,1.15643764
0.01017075,1.20622694,1.19585192
0.01017656,1.24497926,1.23527443
0.01018236,1.28373921,1.27470422
0.01018817,1.32250583,1.31414092
0.01019397,1.36127889,1.35358393
0.01019978,1.40005767,1.39303243
0.01020559,1.4388417,1.43248594
0.01021139,1.47763062,1.47194457
0.0102172,1.51757634,1.51263928
0.010223,1.55833626,1.55420446
0.01022881,1.59909952,1.5957725
0.01023462,1.63986528,1.63734329
0.01024042,1.68063378,1.67891705
0.01024623,1.72140479,1.72049284
0.01025203,1.76217818,1.76207101
0.01025784,1.78109598,1.78122032
0.01026365,1.79695058,1.79722595
