t[s],Power[W m^-3]
0,0
0.01,760265.4847
0.02,1520530.969
0.03,2280796.454
0.04,3041061.939
0.05,3801327.424
0.06,4561592.908
0.07,5321858.393
0.08,6082123.878
0.09,6842389.362
0.1,7602654.847
0.11,8362920.332
0.12,9123185.816
0.13,9883451.301
0.14,10643716.79
0.15,11403982.27
0.16,12164247.76
0.17,12924513.24
0.18,13684778.72
0.19,14445044.21
0.2,15205309.69
0.21,15965575.18
0.22,16725840.66
0.23,17486106.15
0.24,18246371.63
0.25,19006637.12
0.26,19766902.6
0.27,20527168.09
0.28,21287433.57
0.29,22047699.06
0.3,22807964.54
0.31,23568230.03
0.32,24328495.51
0.33,25088761
0.34,25849026.48
0.35,26609291.96
0.36,27369557.45
0.37,28129822.93
0.38,28890088.42
0.39,29650353.9
0.4,30410619.39
0.41,31170884.87
0.42,31931150.36
0.43,32691415.84
0.44,33451681.33
0.45,34211946.81
0.46,34972212.3
0.47,35732477.78
0.48,36492743.27
0.49,37253008.75
0.5,38013274.24
0.51,38773539.72
0.52,39533805.2
0.53,40294070.69
0.54,41054336.17
0.55,41814601.66
0.56,42574867.14
0.57,43335132.63
0.58,44095398.11
0.59,44855663.6
0.6,45615929.08
0.61,46376194.57
0.62,47136460.05
0.63,47896725.54
0.64,48656991.02
0.65,49417256.51
0.66,50177521.99
0.67,50937787.48
0.68,51698052.96
0.69,52458318.44
0.7,53218583.93
0.71,53978849.41
0.72,54739114.9
0.73,55499380.38
0.74,56259645.87
0.75,57019911.35
0.76,57780176.84
0.77,58540442.32
0.78,59300707.81
0.79,60060973.29
0.8,60821238.78
0.81,61581504.26
0.82,62341769.75
0.83,63102035.23
0.84,63862300.72
0.85,64622566.2
0.86,65382831.68
0.87,66143097.17
0.88,66903362.65
0.89,67663628.14
0.9,68423893.62
0.91,69184159.11
0.92,69944424.59
0.93,70704690.08
0.94,71464955.56
0.95,72225221.05
0.96,72985486.53
0.97,73745752.02
0.98,74506017.5
0.99,75266282.99
1,76026548.47
9.999,76026548.47
10,76026548.47
10.0020202,75266282.99
10.0040404,74506017.5
10.00606061,73745752.02
10.00808081,72985486.53
10.01010101,72225221.05
10.01212121,71464955.56
10.01414141,70704690.08
10.01616162,69944424.59
10.01818182,69184159.11
10.02020202,68423893.62
10.02222222,67663628.14
10.02424242,66903362.65
10.02626263,66143097.17
10.02828283,65382831.68
10.03030303,64622566.2
10.03232323,63862300.72
10.03434343,63102035.23
10.03636364,62341769.75
10.03838384,61581504.26
10.04040404,60821238.78
10.04242424,60060973.29
10.04444444,59300707.81
10.04646465,58540442.32
10.04848485,57780176.84
10.05050505,57019911.35
10.05252525,56259645.87
10.05454545,55499380.38
10.05656566,54739114.9
10.05858586,53978849.41
10.06060606,53218583.93
10.06262626,52458318.44
10.06464646,51698052.96
10.06666667,50937787.48
10.06868687,50177521.99
10.07070707,49417256.51
10.07272727,48656991.02
10.07474747,47896725.54
10.07676768,47136460.05
10.07878788,46376194.57
10.08080808,45615929.08
10.08282828,44855663.6
10.08484848,44095398.11
10.08686869,43335132.63
10.08888889,42574867.14
10.09090909,41814601.66
10.09292929,41054336.17
10.09494949,40294070.69
10.0969697,39533805.2
10.0989899,38773539.72
10.1010101,38013274.24
10.1030303,37253008.75
10.10505051,36492743.27
10.10707071,35732477.78
10.10909091,34972212.3
10.11111111,34211946.81
10.11313131,33451681.33
10.11515152,32691415.84
10.11717172,31931150.36
10.11919192,31170884.87
10.12121212,30410619.39
10.12323232,29650353.9
10.12525253,28890088.42
10.12727273,28129822.93
10.12929293,27369557.45
10.13131313,26609291.96
10.13333333,25849026.48
10.13535354,25088761
10.13737374,24328495.51
10.13939394,23568230.03
10.14141414,22807964.54
10.14343434,22047699.06
10.14545455,21287433.57
10.14747475,20527168.09
10.14949495,19766902.6
10.15151515,19006637.12
10.15353535,18246371.63
10.15555556,17486106.15
10.15757576,16725840.66
10.15959596,15965575.18
10.16161616,15205309.69
10.16363636,14445044.21
10.16565657,13684778.72
10.16767677,12924513.24
10.16969697,12164247.76
10.17171717,11403982.27
10.17373737,10643716.79
10.17575758,9883451.301
10.17777778,9123185.816
10.17979798,8362920.332
10.18181818,7602654.847
10.18383838,6842389.362
10.18585859,6082123.878
10.18787879,5321858.393
10.18989899,4561592.908
10.19191919,3801327.424
10.19393939,3041061.939
10.1959596,2280796.454
10.1979798,1520530.969
10.2,760265.4847
10.201,0
15,0
