Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,298.1499940000,298.1500550000,298.1501460000,298.1503300000,298.1503600000,298.1500240000,298.1499940000,0.5298711660,0.1554525200,298.1499940000,0.1453303250,298.1499940000,0.1453303250,298.1499940000,0.1362501530,298.1499940000,0.0679766461,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0153872753,298.1500550000,298.1499940000,298.1499940000,298.1502990000
0.0199999996,298.1499940000,298.1501770000,298.1504520000,298.1509700000,298.1510310000,298.1500850000,298.1499940000,0.5271587370,0.1919339750,298.1499940000,0.1806064700,298.1499940000,0.1806064700,298.1499940000,0.1617421060,298.1499940000,0.0739107504,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0217482336,298.1501460000,298.1500240000,298.1499940000,298.1508180000
0.0299999993,298.1499940000,298.1504520000,298.1509700000,298.1519470000,298.1521300000,298.1501770000,298.1499940000,0.5281354780,0.2067792860,298.1499940000,0.1893457470,298.1499940000,0.1893457470,298.1499940000,0.1545859430,298.1499940000,0.0581147447,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0254114419,298.1503910000,298.1500550000,298.1499940000,298.1517030000
0.0399999991,298.1500240000,298.1508180000,298.1517640000,298.1533810000,298.1536250000,298.1503300000,298.1499940000,0.5282556410,0.2260071340,298.1499940000,0.1986256540,298.1499940000,0.1986256540,298.1499940000,0.1461054380,298.1499940000,0.0472285300,298.1499940000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0302340593,298.1508180000,298.1501160000,298.1500240000,298.1528930000
0.0500000007,298.1500240000,298.1513370000,298.1527710000,298.1552730000,298.1556090000,298.1505430000,298.1499940000,0.5280995970,0.2429351660,298.1499940000,0.2053963090,298.1499940000,0.2053963090,298.1499940000,0.1385173350,298.1499940000,0.0434631892,298.1499940000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0360393189,298.1513980000,298.1502990000,298.1500240000,298.1544800000
0.0599999987,298.1500240000,298.1520080000,298.1540830000,298.1575930000,298.1580510000,298.1507570000,298.1499940000,0.5280246140,0.2557504770,298.1499940000,0.2099254730,298.1499940000,0.2099254730,298.1499940000,0.1328313950,298.1499940000,0.0431280173,298.1499940000,298.1500850000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0430941209,298.1522220000,298.1505430000,298.1500850000,298.1564330000
0.0700000003,298.1500240000,298.1528020000,298.1556400000,298.1603390000,298.1609500000,298.1510620000,298.1499940000,0.5280082820,0.2642961440,298.1499940000,0.2130550440,298.1499940000,0.2130550440,298.1499940000,0.1292376970,298.1499940000,0.0434857793,298.1499940000,298.1501460000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0521749705,298.1532290000,298.1509090000,298.1501460000,298.1587830000
0.0799999982,298.1500240000,298.1537480000,298.1574400000,298.1635440000,298.1643070000,298.1513980000,298.1499940000,0.5280069710,0.2691328820,298.1500240000,0.2152048200,298.1499940000,0.2152048200,298.1499940000,0.1275044230,298.1499940000,0.0437624231,298.1499940000,298.1502990000,298.1500550000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0641463920,298.1544190000,298.1513980000,298.1502990000,298.1614690000
0.0900000036,298.1500550000,298.1548460000,298.1595150000,298.1672060000,298.1681210000,298.1517940000,298.1499940000,0.5280070300,0.2711917760,298.1500240000,0.2164612560,298.1500240000,0.2164612560,298.1500240000,0.1269578640,298.1499940000,0.0437879078,298.1499940000,298.1504820000,298.1501160000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0794186741,298.1558230000,298.1519780000,298.1504820000,298.1645200000
0.1000000010,298.1500550000,298.1560970000,298.1618650000,298.1712950000,298.1724240000,298.1522520000,298.1499940000,0.5280069710,0.2716176810,298.1500240000,0.2170045380,298.1500240000,0.2170045380,298.1500240000,0.1269829870,298.1500240000,0.0435659178,298.1499940000,298.1507260000,298.1502380000,298.1500850000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0975200683,298.1574100000,298.1527100000,298.1507260000,298.1679690000
