Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,293.1499940000,293.1500550000,293.1501770000,293.1503910000,293.1504210000,293.1500240000,293.1499940000,0.5200401540,0.1522234530,293.1499940000,0.1422976850,293.1499940000,0.1422976850,293.1499940000,0.1333701460,293.1499940000,0.0665446892,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0150184138,293.1500550000,293.1499940000,293.1499940000,293.1503600000
0.0199999996,293.1499940000,293.1502080000,293.1505130000,293.1511230000,293.1511840000,293.1500850000,293.1499940000,0.5173484090,0.1882469650,293.1499940000,0.1771695910,293.1499940000,0.1771695910,293.1499940000,0.1587964450,293.1499940000,0.0726944879,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0212207176,293.1501770000,293.1500240000,293.1499940000,293.1510010000
0.0299999993,293.1500240000,293.1504820000,293.1511230000,293.1523130000,293.1524350000,293.1502080000,293.1499940000,0.5183075070,0.2024742360,293.1499940000,0.1855571270,293.1499940000,0.1855571270,293.1499940000,0.1518079040,293.1499940000,0.0573573411,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0247220211,293.1504520000,293.1500550000,293.1499940000,293.1520390000
0.0399999991,293.1500240000,293.1509090000,293.1520080000,293.1540220000,293.1542050000,293.1503910000,293.1499940000,0.5184324380,0.2212066050,293.1499940000,0.1946832540,293.1499940000,0.1946832540,293.1499940000,0.1436018350,293.1499940000,0.0465667285,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0293416791,293.1509090000,293.1501160000,293.1500240000,293.1535640000
0.0500000007,293.1500240000,293.1514890000,293.1532290000,293.1562810000,293.1564940000,293.1506040000,293.1499940000,0.5182783010,0.2376815230,293.1499940000,0.2012978050,293.1499940000,0.2012978050,293.1499940000,0.1361414190,293.1499940000,0.0426375493,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0348692201,293.1515810000,293.1502690000,293.1500240000,293.1555480000
0.0599999987,293.1500240000,293.1522520000,293.1547550000,293.1590580000,293.1593320000,293.1508790000,293.1499940000,0.5182040330,0.2502865790,293.1499940000,0.2057302150,293.1499940000,0.2057302150,293.1499940000,0.1305100320,293.1499940000,0.0422061495,293.1499940000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0415266268,293.1524960000,293.1505130000,293.1500550000,293.1579900000
0.0700000003,293.1500550000,293.1531680000,293.1565550000,293.1624150000,293.1627200000,293.1512450000,293.1499940000,0.5181878810,0.2588159740,293.1499940000,0.2088091080,293.1499940000,0.2088091080,293.1499940000,0.1269068870,293.1499940000,0.0425504483,293.1499940000,293.1501160000,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0500142016,293.1536560000,293.1508480000,293.1501160000,293.1609190000
0.0799999982,293.1500550000,293.1542360000,293.1587220000,293.1662900000,293.1666260000,293.1516110000,293.1499940000,0.5181865100,0.2637518640,293.1499940000,0.2109486760,293.1499940000,0.2109486760,293.1499940000,0.1251129660,293.1499940000,0.0428531505,293.1499940000,293.1502080000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0611497723,293.1550600000,293.1513060000,293.1502080000,293.1643370000
0.0900000036,293.1500850000,293.1554870000,293.1611630000,293.1707150000,293.1710820000,293.1520690000,293.1499940000,0.5181865100,0.2659476400,293.1500240000,0.2122345570,293.1499940000,0.2122345570,293.1499940000,0.1245085080,293.1499940000,0.0429277830,293.1499940000,293.1503600000,293.1500850000,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0753897876,293.1566770000,293.1518550000,293.1503600000,293.1682130000
0.1000000010,293.1500850000,293.1569210000,293.1639100000,293.1756590000,293.1760860000,293.1525880000,293.1499940000,0.5181864500,0.2664917710,293.1500240000,0.2128292320,293.1500240000,0.2128292320,293.1500240000,0.1244986500,293.1499940000,0.0427668579,293.1499940000,293.1505430000,293.1501460000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0924223736,293.1585390000,293.1525270000,293.1505430000,293.1725770000
