Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,293.1499940000,293.1501160000,293.1503300000,293.1506960000,293.1507570000,293.1500550000,293.1499940000,0.5052776930,0.1470622570,293.1499940000,0.1374472680,293.1499940000,0.1374472680,293.1499940000,0.1286681150,293.1499940000,0.0642288476,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0144148348,293.1500850000,293.1500240000,293.1499940000,293.1506350000
0.0199999996,293.1499940000,293.1503910000,293.1509400000,293.1519170000,293.1521000000,293.1501770000,293.1499940000,0.5026128290,0.1826157570,293.1499940000,0.1719113140,293.1499940000,0.1719113140,293.1499940000,0.1542389240,293.1499940000,0.0708141252,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0203956086,293.1503300000,293.1500240000,293.1499940000,293.1516720000
0.0299999993,293.1500240000,293.1508790000,293.1519780000,293.1539610000,293.1542970000,293.1503910000,293.1499940000,0.5035461190,0.1959658270,293.1499940000,0.1798277940,293.1499940000,0.1798277940,293.1499940000,0.1476042870,293.1499940000,0.0562243871,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0236690901,293.1507870000,293.1500850000,293.1500240000,293.1533810000
0.0399999991,293.1500240000,293.1516720000,293.1535640000,293.1568600000,293.1574100000,293.1506960000,293.1499940000,0.5036795740,0.2138963940,293.1499940000,0.1886620370,293.1499940000,0.1886620370,293.1499940000,0.1397832040,293.1499940000,0.0455904193,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0279885679,293.1516110000,293.1502380000,293.1500240000,293.1558530000
0.0500000007,293.1500240000,293.1527710000,293.1557010000,293.1606750000,293.1614380000,293.1511230000,293.1499940000,0.5035291910,0.2297914180,293.1499940000,0.1951351170,293.1499940000,0.1951351170,293.1499940000,0.1326038090,293.1499940000,0.0414267220,293.1499940000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0331238061,293.1528020000,293.1505130000,293.1500550000,293.1590270000
0.0599999987,293.1500550000,293.1541440000,293.1583250000,293.1653440000,293.1663820000,293.1516420000,293.1499940000,0.5034549830,0.2420641330,293.1499940000,0.1994220470,293.1499940000,0.1994220470,293.1499940000,0.1270508470,293.1499940000,0.0408211946,293.1499940000,293.1501160000,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0392182767,293.1544490000,293.1510010000,293.1501160000,293.1629940000
0.0700000003,293.1500550000,293.1558230000,293.1615300000,293.1709590000,293.1723020000,293.1522520000,293.1499940000,0.5034388300,0.2505517900,293.1499940000,0.2024186550,293.1499940000,0.2024186550,293.1499940000,0.1234184880,293.1499940000,0.0411341861,293.1499940000,293.1502690000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0468737446,293.1564940000,293.1516720000,293.1502690000,293.1676640000
0.0799999982,293.1500550000,293.1578060000,293.1652530000,293.1774600000,293.1791380000,293.1529850000,293.1499940000,0.5034374590,0.2556367520,293.1500240000,0.2045444850,293.1499940000,0.2045444850,293.1499940000,0.1215299890,293.1499940000,0.0414705724,293.1499940000,293.1504820000,293.1501160000,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0568324290,293.1589050000,293.1526180000,293.1504820000,293.1730960000
0.0900000036,293.1500850000,293.1600950000,293.1695250000,293.1848450000,293.1869200000,293.1538090000,293.1499940000,0.5034374000,0.2580430210,293.1500240000,0.2058734600,293.1500240000,0.2058734600,293.1500240000,0.1208385970,293.1499940000,0.0416141674,293.1499940000,293.1508180000,293.1502080000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0695862770,293.1617740000,293.1537780000,293.1508180000,293.1792600000
0.1000000010,293.1500850000,293.1626590000,293.1743160000,293.1931460000,293.1956180000,293.1547240000,293.1499940000,0.5034372810,0.2587616740,293.1500550000,0.2065299750,293.1500240000,0.2065299750,293.1500240000,0.1207620580,293.1500240000,0.0415412635,293.1499940000,293.1512760000,293.1503910000,293.1501160000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,0.0850204229,293.1650090000,293.1552120000,293.1512760000,293.1861880000
0.1099999990,293.1501160000,293.1655580000,293.1796570000,293.2023320000,293.2052610000,293.1557620000,293.1499940000,0.5034372210,0.2586546240,293.1500850000,0.2067105320,293.1500550000,0.2067105320,293.1500550000,0.1209058690,293.1500240000,0.0412761718,293.1499940000,293.1518860000,293.1506350000,293.1502380000,293.1500850000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,0.1022077280,293.1686710000,293.1568600000,293.1518860000,293.1938480000
0.1199999970,293.1501460000,293.1687320000,293.1855470000,293.2124330000,293.2158510000,293.1568910000,293.1499940000,0.5034372210,0.2582528290,293.1501460000,0.2065822040,293.1500850000,0.2065822040,293.1500850000,0.1210374530,293.1500240000,0.0408718362,293.1499940000,293.1525880000,293.1509400000,293.1503910000,293.1501460000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,0.1193648580,293.1726990000,293.1587520000,293.1525880000,293.2022710000
0.1299999950,293.1501770000,293.1722110000,293.1919560000,293.2234190000,293.2273560000,293.1581420000,293.1499940000,0.5034372210,0.2578418250,293.1502690000,0.2063048630,293.1501460000,0.2063048630,293.1501460000,0.1210813000,293.1500550000,0.0403705649,293.1500240000,293.1534420000,293.1513670000,293.1506040000,293.1502690000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,0.1347158250,293.1771550000,293.1608580000,293.1534420000,293.2114260000
0.1400000010,293.1502080000,293.1759950000,293.1988830000,293.2352910000,293.2398070000,293.1594850000,293.1499940000,0.5034372210,0.2575222550,293.1504520000,0.2059893310,293.1502380000,0.2059893310,293.1502380000,0.1210399270,293.1500850000,0.0397900306,293.1500240000,293.1543880000,293.1518550000,293.1509090000,293.1504520000,293.1500850000,293.1500240000,293.1499940000,293.1500240000,0.1471249460,293.1819760000,293.1632390000,293.1543880000,293.2213130000
