Z [ m ],Temperature [ K ]
0.0620324984,318.7498780000
0.0619704053,318.7427980000
0.0619083121,318.7357180000
0.0618462190,318.7286680000
0.0617841259,318.7216190000
0.0617220327,318.7145390000
0.0616599396,318.7074580000
0.0615978464,318.7003780000
0.0615357533,318.6932980000
0.0614736602,318.6862180000
0.0614115670,318.6791690000
0.0613494739,318.6720580000
0.0612873808,318.6650390000
0.0612252876,318.6679690000
0.0611631945,318.6974490000
0.0611011013,318.7211910000
0.0610390082,318.7250670000
0.0609769151,318.7288820000
0.0609148219,318.7327270000
0.0608527288,318.7365720000
0.0607906356,318.7406620000
0.0607285425,318.7439880000
0.0606664494,318.7475280000
0.0606043562,318.7511600000
0.0605422631,318.7547000000
0.0604801700,318.7583010000
0.0604180768,318.7618710000
0.0603559837,318.7654420000
0.0602938905,318.7690430000
0.0602317974,318.7689820000
0.0601697043,318.7214050000
0.0601076111,318.6738890000
0.0600455180,318.7297360000
0.0599834248,318.8228150000
0.0599213317,318.9158940000
0.0598592386,319.0089720000
0.0597971454,319.1020810000
0.0597350523,319.1951900000
0.0596729591,319.2882690000
0.0596108660,319.3813480000
0.0595487729,319.4527590000
0.0594866797,319.5040280000
0.0594245866,319.5553280000
0.0593624935,319.6066280000
0.0593004003,319.6578980000
0.0592383072,319.7092290000
0.0591762140,319.7605290000
0.0591141209,319.8118290000
0.0590520278,319.8631290000
0.0589899346,319.9144290000
0.0589278415,319.9637450000
0.0588657483,319.9898070000
0.0588036552,320.0018310000
0.0587415621,320.0138550000
0.0586794689,320.0429080000
0.0586173758,320.0725710000
0.0585552827,320.0748290000
0.0584931895,320.0771790000
0.0584310964,320.0794980000
0.0583690032,320.0817870000
0.0583069101,320.0649720000
0.0582448170,320.0406800000
0.0581827238,320.0164490000
0.0581206307,319.9921880000
0.0580585375,319.9679570000
0.0579964444,319.9436650000
0.0579343513,319.9194030000
0.0578722581,319.8951420000
0.0578101650,319.8709110000
0.0577480718,319.8466490000
0.0576859787,319.8223880000
0.0576238856,319.7980960000
0.0575617924,319.7738650000
0.0574996993,319.7496340000
0.0574376062,319.7253420000
0.0573755130,319.7010800000
0.0573134199,319.7055660000
0.0572513267,319.7930600000
0.0571892336,319.8806150000
0.0571271405,319.9682010000
0.0570650473,320.0557250000
0.0570029542,320.1432500000
0.0569408610,320.2308040000
0.0568787679,320.3183590000
0.0568166748,320.4058840000
0.0567545816,320.4933780000
0.0566924885,320.5809330000
0.0566303954,320.6684880000
0.0565683022,320.7560120000
0.0565062091,320.8435670000
0.0564441159,320.9310910000
0.0563820228,321.0186460000
0.0563199297,321.1061710000
0.0562578365,321.1936950000
0.0561957434,321.2812190000
0.0561336502,321.3687740000
0.0560715571,321.4410710000
0.0560094640,321.4997860000
0.0559473708,321.5585330000
0.0558852777,321.6172180000
0.0558231845,321.6759640000
0.0557610914,321.7346800000
0.0556989983,321.7934270000
0.0556369051,321.8521120000
0.0555748120,321.9262700000
0.0555127189,322.0178220000
0.0554506257,322.1093750000
0.0553885326,322.1670840000
0.0553264394,322.2087710000
0.0552643463,322.2504270000
0.0552022532,322.2920840000
0.0551401600,322.3337710000
0.0550780669,322.3754270000
0.0550159737,322.4171450000
0.0549538806,322.4587710000
0.0548917875,322.4764400000
0.0548296943,322.4904790000
0.0547676012,322.5044860000
0.0547055081,322.5184940000
0.0546434149,322.5325010000
0.0545813218,322.5464780000
0.0545192286,322.5604860000
0.0544571355,322.5745240000
0.0543950424,322.5885010000
0.0543329492,322.6025090000
0.0542708561,322.6165470000
0.0542087629,322.6762390000
0.0541466698,322.7609560000
0.0540845767,322.8457030000
0.0540224835,322.9304200000
0.0539603904,323.0151370000
0.0538982973,323.0999150000
0.0538362041,323.1846010000
0.0537741110,323.2693180000
0.0537120178,323.3540650000
0.0536499247,323.4388120000
