Time [s],Monitor Point: Mouthpiece1mm0mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm1mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm2mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm3mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm4mmTempX0YZ (Temperature) [K]
0.0035000001,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0060000001,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0085000005,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0109999999,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0135000004,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0160000008,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0185000002,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0209999997,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0234999992,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0260000005,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0285000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0309999995,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0335000008,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0359999985,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0384999998,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0410000011,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0434999987,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0460000001,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0485000014,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0509999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0535000004,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0560000017,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0584999993,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0610000007,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0635000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.0659999996,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1499940000
0.0684999973,293.1500240000,293.1500240000,293.1500240000,293.1499940000,293.1499940000
0.0710000023,293.1500240000,293.1500240000,293.1500240000,293.1499940000,293.1499940000
