Time [s],Monitor Point: CenterVel (Velocity) [m s^-1],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: r0Vel (Velocity) [m s^-1],Monitor Point: r1Vel (Velocity) [m s^-1],Monitor Point: r2Vel (Velocity) [m s^-1],Monitor Point: r3Vel (Velocity) [m s^-1],Monitor Point: r4Vel (Velocity) [m s^-1]
0.0035000001,0.0997543335,0.5091734530,0.0997543335,0.1007305090,0.1023193600,0.1039198410,0.1022504200
0.0060000001,0.1137197610,0.5084175470,0.1137197610,0.1151615600,0.1198262720,0.1231086630,0.1194578110
0.0085000005,0.1209270130,0.5085513590,0.1209270130,0.1225853260,0.1290705500,0.1317068640,0.1225637570
0.0109999999,0.1286279560,0.5086309910,0.1286279560,0.1303358530,0.1375797240,0.1383170340,0.1228163690
0.0135000004,0.1359626350,0.5086418390,0.1359626350,0.1375718860,0.1446304770,0.1427269130,0.1210825220
0.0160000008,0.1430555430,0.5086401700,0.1430555430,0.1444659980,0.1506576990,0.1457565280,0.1184299510
0.0185000002,0.1499228330,0.5086388590,0.1499228330,0.1510636360,0.1558653710,0.1478856500,0.1155375470
0.0209999997,0.1565441790,0.5086384420,0.1565441790,0.1573735030,0.1605458560,0.1495220210,0.1126831700
0.0234999992,0.1629064830,0.5086382630,0.1629064830,0.1634079370,0.1649190630,0.1509083360,0.1099114790
0.0260000005,0.1690226940,0.5086380240,0.1690226940,0.1692135780,0.1690090000,0.1520545040,0.1072143390
0.0285000000,0.1749492140,0.5086377860,0.1749492140,0.1748584810,0.1728601160,0.1529949750,0.1045949240
0.0309999995,0.1807738240,0.5086375470,0.1807738240,0.1804196690,0.1765157430,0.1537432670,0.1020299420
0.0335000008,0.1867006720,0.5086373090,0.1867006720,0.1860255750,0.1800513860,0.1543289720,0.0994855538
0.0359999985,0.1931094530,0.5086370710,0.1931094530,0.1919870230,0.1836026310,0.1547319440,0.0968864784
0.0384999998,0.2007028910,0.5086368320,0.2007028910,0.1988616730,0.1873366530,0.1548874230,0.0941357315
0.0410000011,0.2107671800,0.5086365940,0.2107671800,0.2076727450,0.1915282460,0.1546209450,0.0910902843
0.0434999987,0.2254126070,0.5086363550,0.2254126070,0.2201908380,0.1967563330,0.1537003820,0.0874314904
0.0460000001,0.2473969310,0.5086360570,0.2473969310,0.2388211940,0.2039366660,0.1519199910,0.0825409740
0.0485000014,0.2789303360,0.5086357590,0.2789303360,0.2655822340,0.2140611560,0.1494446400,0.0759836659
0.0509999990,0.3197167520,0.5086355210,0.3197167520,0.3003450040,0.2274412070,0.1466812340,0.0674256459
0.0535000004,0.3659062680,0.5086352230,0.3659062680,0.3401063980,0.2432880100,0.1440525500,0.0576136559
0.0560000017,0.4110930860,0.5086349250,0.4110930860,0.3797335030,0.2598632280,0.1418220250,0.0483004898
0.0584999993,0.4493272010,0.5086346270,0.4493272010,0.4139791730,0.2747785450,0.1399717330,0.0417608246
0.0610000007,0.4763932530,0.5086343290,0.4763932530,0.4396402840,0.2863546010,0.1384846420,0.0396628045
0.0635000020,0.4930532570,0.5086339710,0.4930532570,0.4558700620,0.2940094170,0.1375071560,0.0416176952
0.0659999996,0.5023236270,0.5086336730,0.5023236270,0.4647490680,0.2981094420,0.1370242830,0.0455935933
0.0684999973,0.5069017410,0.5086333750,0.5069017410,0.4687826340,0.2995368840,0.1367640200,0.0496828072
0.0710000023,0.5086768270,0.5086330770,0.5086768270,0.4699566660,0.2992812400,0.1364799590,0.0529101379
0.0734999999,0.5088707800,0.5086328390,0.5088707800,0.4696197510,0.2982142870,0.1360840050,0.0549570844
0.0759999976,0.5082405810,0.5086325410,0.5082405810,0.4686008990,0.2969253360,0.1355796160,0.0558358468
0.0785000026,0.5072355270,0.5086322430,0.5072355270,0.4673721190,0.2957490980,0.1350241450,0.0557146817
0.0810000002,0.5061012510,0.5086320040,0.5061012510,0.4661681060,0.2948211430,0.1344814900,0.0548188202
0.0834999979,0.5049618480,0.5086318250,0.5049618480,0.4650827350,0.2941496070,0.1339937450,0.0534024239
0.0860000029,0.5038699510,0.5086316470,0.5038699510,0.4641298950,0.2936791180,0.1335642640,0.0516731888
0.0885000005,0.5028465390,0.5086314680,0.5028465390,0.4632939400,0.2933409510,0.1331751640,0.0497808680
0.0909999982,0.5019071700,0.5086313490,0.5019071700,0.4625619050,0.2930816710,0.1328042890,0.0478274226
0.0935000032,0.5010701420,0.5086312290,0.5010701420,0.4619322120,0.2928707600,0.1324353070,0.0458662920
0.0960000008,0.5003539320,0.5086311700,0.5003539320,0.4614112970,0.2926989200,0.1320606020,0.0439283885
0.0984999985,0.4997726980,0.5086311100,0.4997726980,0.4610070590,0.2925685640,0.1316803540,0.0420380495
0.1010000040,0.4993342460,0.5086311100,0.4993342460,0.4607259040,0.2924886050,0.1313034740,0.0402115025
0.1035000010,0.4990362820,0.5086311100,0.4990362820,0.4605659840,0.2924663720,0.1309420320,0.0384682640
0.1059999990,0.4988661710,0.5086311100,0.4988661710,0.4605158870,0.2925036250,0.1306098250,0.0368390977
0.1084999960,0.4988048370,0.5086311700,0.4988048370,0.4605570140,0.2925947010,0.1303142610,0.0353475548
0.1110000010,0.4988285900,0.5086312290,0.4988285900,0.4606651960,0.2927268740,0.1300576480,0.0340111963
0.1134999990,0.4989137350,0.5086312890,0.4989137350,0.4608160260,0.2928842310,0.1298380490,0.0328380652
0.1159999970,0.4990388450,0.5086313490,0.4990388450,0.4609878060,0.2930511240,0.1296511140,0.0318288468
0.1185000020,0.4991866050,0.5086314080,0.4991866050,0.4611637590,0.2932145000,0.1294913890,0.0309765395
0.1209999990,0.4993443190,0.5086314680,0.4993443190,0.4613329770,0.2933656280,0.1293532700,0.0302674156
0.1234999970,0.4995030760,0.5086315270,0.4995030760,0.4614893200,0.2934998570,0.1292326900,0.0296849143
0.1260000020,0.4996569450,0.5086315870,0.4996569450,0.4616304040,0.2936159670,0.1291265190,0.0292101596
0.1285000000,0.4998022320,0.5086316470,0.4998022320,0.4617560510,0.2937149410,0.1290328950,0.0288248602
