Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,298.1499940000,298.1500550000,298.1501460000,298.1503600000,298.1503600000,298.1500240000,298.1499940000,0.5329362750,0.1564599570,298.1499940000,0.1462761160,298.1499940000,0.1462761160,298.1499940000,0.1371479030,298.1499940000,0.0684228167,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0155028254,298.1500550000,298.1499940000,298.1499940000,298.1502990000
0.0199999996,298.1499940000,298.1501770000,298.1504520000,298.1509700000,298.1510620000,298.1500850000,298.1499940000,0.5302140710,0.1930851640,298.1499940000,0.1816790250,298.1499940000,0.1816790250,298.1499940000,0.1626594360,298.1499940000,0.0742880777,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0219137203,298.1501460000,298.1500240000,298.1499940000,298.1508480000
0.0299999993,298.1499940000,298.1504520000,298.1509700000,298.1519780000,298.1521300000,298.1501770000,298.1499940000,0.5311984420,0.2081249950,298.1499940000,0.1905271710,298.1499940000,0.1905271710,298.1499940000,0.1554512230,298.1499940000,0.0583486706,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0256283060,298.1503910000,298.1500550000,298.1499940000,298.1517030000
0.0399999991,298.1500240000,298.1508180000,298.1517640000,298.1534120000,298.1536560000,298.1503300000,298.1499940000,0.5313181880,0.2275231930,298.1499940000,0.1998688430,298.1499940000,0.1998688430,298.1499940000,0.1468981360,298.1499940000,0.0474392474,298.1499940000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0305177756,298.1508180000,298.1501460000,298.1500240000,298.1529240000
0.0500000007,298.1500240000,298.1513370000,298.1528020000,298.1553040000,298.1556400000,298.1505430000,298.1499940000,0.5311618450,0.2445732360,298.1499940000,0.2066715810,298.1499940000,0.2066715810,298.1499940000,0.1392539440,298.1499940000,0.0437222049,298.1499940000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0364111289,298.1514280000,298.1502990000,298.1500550000,298.1545100000
0.0599999987,298.1500240000,298.1520080000,298.1541140000,298.1576230000,298.1581120000,298.1507870000,298.1499940000,0.5310868620,0.2574517430,298.1499940000,0.2112293090,298.1499940000,0.2112293090,298.1499940000,0.1335484530,298.1499940000,0.0434160531,298.1499940000,298.1500850000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0435935445,298.1522520000,298.1505430000,298.1500850000,298.1564940000
0.0700000003,298.1500240000,298.1528320000,298.1556700000,298.1604000000,298.1610110000,298.1510620000,298.1499940000,0.5310705300,0.2660042640,298.1499940000,0.2143783270,298.1499940000,0.2143783270,298.1499940000,0.1299628170,298.1499940000,0.0437769257,298.1499940000,298.1501460000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0528672151,298.1532590000,298.1509090000,298.1501460000,298.1588440000
0.0799999982,298.1500240000,298.1537780000,298.1574710000,298.1636350000,298.1643980000,298.1513980000,298.1499940000,0.5310692190,0.2708090840,298.1500240000,0.2165319030,298.1499940000,0.2165319030,298.1499940000,0.1282513440,298.1499940000,0.0440441966,298.1499940000,298.1502990000,298.1500550000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0651092231,298.1544490000,298.1513980000,298.1502990000,298.1615300000
0.0900000036,298.1500550000,298.1548770000,298.1595460000,298.1672970000,298.1682430000,298.1518250000,298.1499940000,0.5310692790,0.2728237810,298.1500240000,0.2177776990,298.1500240000,0.2177776990,298.1500240000,0.1277226210,298.1499940000,0.0440535210,298.1499940000,298.1504820000,298.1501460000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0807112455,298.1558530000,298.1520080000,298.1504820000,298.1646420000
0.1000000010,298.1500550000,298.1561280000,298.1618960000,298.1714170000,298.1725160000,298.1522520000,298.1499940000,0.5310691600,0.2732126410,298.1500240000,0.2183037400,298.1500240000,0.2183037400,298.1500240000,0.1277575940,298.1500240000,0.0438118689,298.1499940000,298.1507260000,298.1502380000,298.1500850000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0991447791,298.1574710000,298.1527710000,298.1507260000,298.1680910000
