Time,T1_t1,T2_t1,T3_t1,T4_t1,T1_t2,T2_t2,T3_t2,T4_t2,T1_t3,T2_t3,T3_t3,T4_t3
0,0.00,-0.06,-0.03,-0.05,0.03,0.10,0.05,-0.04,0.00,-0.04,-0.04,-0.06
0.25,0.00,0.04,0.07,-0.05,0.03,0.10,0.05,-0.04,0.00,-0.04,-0.04,-0.06
0.5,0.00,0.04,-0.03,-0.05,-0.07,0.10,0.05,-0.04,0.00,-0.04,0.06,-0.06
0.75,0.00,0.04,-0.03,-0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,0.06,-0.06
1,0.00,0.04,0.07,-0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,-0.04,-0.06
1.25,0.00,-0.06,0.07,-0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,-0.06
1.5,0.00,-0.06,0.07,-0.05,0.03,0.10,0.05,-0.04,0.00,-0.04,0.06,-0.06
1.75,0.00,-0.06,-0.03,-0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,0.06,-0.06
2,0.00,-0.06,-0.03,-0.05,-0.07,0.00,0.05,-0.04,0.00,-0.04,-0.04,-0.06
2.25,0.00,-0.06,-0.03,-0.05,0.03,0.10,0.05,-0.04,0.00,-0.04,-0.04,-0.06
2.5,0.00,-0.06,-0.03,-0.05,0.03,0.00,0.05,-0.04,0.00,-0.04,0.06,-0.06
2.75,0.00,-0.06,-0.03,-0.05,0.03,0.00,0.05,0.06,0.00,-0.04,-0.04,-0.06
3,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,-0.06
3.25,0.00,-0.06,-0.03,0.05,0.03,0.00,0.05,0.06,0.00,-0.04,-0.04,-0.06
3.5,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,0.06,-0.06
3.75,0.00,-0.06,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,-0.06
4,0.00,-0.06,-0.03,0.05,0.03,0.10,0.05,0.06,0.00,-0.04,-0.04,-0.06
4.25,0.00,-0.06,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,0.04
4.5,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,-0.06
4.75,0.00,-0.06,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,-0.06
5,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,0.06,-0.06
5.25,0.00,0.04,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,0.06,0.06,-0.06
5.5,0.00,0.04,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,0.06,0.06,-0.06
5.75,0.00,0.04,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,-0.06
6,0.00,0.04,-0.03,-0.05,0.03,0.00,0.05,0.06,0.00,-0.04,-0.04,-0.06
6.25,0.00,0.04,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,0.06,0.06,-0.06
6.5,0.00,-0.06,-0.03,-0.05,0.03,0.00,0.05,0.06,0.00,0.06,0.06,-0.06
6.75,0.00,0.04,-0.03,0.05,0.03,0.00,0.05,0.06,0.00,0.06,0.06,-0.06
7,0.00,0.04,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,0.06,0.06,-0.06
7.25,0.00,0.04,-0.03,0.05,0.03,0.00,-0.05,0.06,0.00,0.06,0.06,-0.06
7.5,0.00,0.04,-0.03,-0.05,0.03,0.00,0.05,0.06,0.00,0.06,0.06,-0.06
7.75,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,0.06,-0.06
8,0.00,0.04,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,0.06,0.06,-0.06
8.25,0.00,0.04,-0.03,-0.05,0.03,0.00,-0.05,-0.04,0.00,0.06,0.06,-0.06
8.5,0.00,0.04,0.07,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,0.06,-0.06
8.75,0.00,0.04,0.07,0.05,-0.07,-0.10,-0.05,-0.04,0.00,-0.04,0.06,0.04
9,0.00,-0.06,0.07,-0.05,0.03,0.00,-0.05,-0.04,0.00,-0.04,0.06,-0.06
9.25,0.00,0.04,0.07,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,-0.06
9.5,0.00,0.04,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,0.04
9.75,0.00,0.04,0.07,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,-0.04,0.04
10,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,0.06,-0.04,0.04
10.25,0.00,-0.06,0.07,-0.05,0.03,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
10.5,0.00,0.04,-0.03,0.05,0.03,-0.10,-0.05,-0.04,0.00,-0.04,0.06,0.04
10.75,0.00,-0.06,0.07,0.05,-0.07,-0.10,-0.05,-0.04,-0.10,-0.04,-0.04,0.04
11,0.00,0.04,-0.03,-0.05,0.03,-0.10,-0.05,0.06,0.00,-0.04,-0.04,0.04
11.25,0.00,0.04,-0.03,-0.05,0.03,0.00,-0.05,-0.04,0.00,-0.04,-0.04,0.04
11.5,0.00,-0.06,0.07,-0.05,0.03,-0.10,-0.05,-0.04,0.00,-0.04,-0.04,0.04
11.75,0.00,-0.06,-0.03,-0.05,-0.07,0.00,-0.05,-0.04,0.00,0.06,0.06,0.04
12,0.00,-0.06,-0.03,-0.05,-0.07,-0.10,-0.05,0.06,0.00,-0.04,-0.04,0.04
12.25,0.00,-0.06,0.07,-0.05,0.03,0.00,-0.05,-0.04,-0.10,-0.04,0.06,0.04
12.5,0.00,-0.06,-0.03,-0.05,0.03,0.00,-0.05,0.06,0.00,-0.04,0.06,0.04
12.75,0.00,0.04,-0.03,-0.05,-0.07,0.00,-0.05,0.06,0.00,0.06,-0.04,0.04
