Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,298.1499940000,298.1500550000,298.1501460000,298.1503600000,298.1503600000,298.1500240000,298.1499940000,0.5145235060,0.1504129320,298.1499940000,0.1405965240,298.1499940000,0.1405965240,298.1499940000,0.1317536090,298.1499940000,0.0657403618,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0148126008,298.1500550000,298.1499940000,298.1499940000,298.1502990000
0.0199999996,298.1499940000,298.1502080000,298.1504520000,298.1509700000,298.1510620000,298.1500850000,298.1499940000,0.5118420120,0.1861825440,298.1499940000,0.1752436010,298.1499940000,0.1752436010,298.1499940000,0.1571412680,298.1499940000,0.0720077977,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0209269226,298.1501460000,298.1500240000,298.1499940000,298.1508180000
0.0299999993,298.1499940000,298.1504520000,298.1510010000,298.1519780000,298.1521610000,298.1501770000,298.1499940000,0.5127922300,0.2000630800,298.1499940000,0.1834324750,298.1499940000,0.1834324750,298.1499940000,0.1502458300,298.1499940000,0.0569243878,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0243392978,298.1503910000,298.1500550000,298.1499940000,298.1517030000
0.0399999991,298.1500240000,298.1508180000,298.1517640000,298.1534120000,298.1536870000,298.1503300000,298.1499940000,0.5129204990,0.2184924630,298.1499940000,0.1924433710,298.1499940000,0.1924433710,298.1499940000,0.1421689990,298.1499940000,0.0461903699,298.1499940000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0288448557,298.1507870000,298.1501160000,298.1500240000,298.1529240000
0.0500000007,298.1500240000,298.1513670000,298.1528320000,298.1553040000,298.1556700000,298.1505430000,298.1499940000,0.5127677320,0.2347484980,298.1499940000,0.1990022360,298.1499940000,0.1990022360,298.1499940000,0.1348112970,298.1499940000,0.0421803370,298.1499940000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0342244506,298.1513980000,298.1502690000,298.1500240000,298.1545100000
0.0599999987,298.1500240000,298.1520390000,298.1541440000,298.1576540000,298.1581420000,298.1507870000,298.1499940000,0.5126936440,0.2472120370,298.1499940000,0.2033633740,298.1499940000,0.2033633740,298.1499940000,0.1291973290,298.1499940000,0.0416887701,298.1499940000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0406662934,298.1522220000,298.1505130000,298.1500550000,298.1564940000
0.0700000003,298.1500240000,298.1528630000,298.1557310000,298.1604310000,298.1610720000,298.1510930000,298.1499940000,0.5126775500,0.2557269930,298.1499940000,0.2064132090,298.1499940000,0.2064132090,298.1499940000,0.1255887750,298.1499940000,0.0420236997,298.1499940000,298.1501460000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0488355123,298.1532290000,298.1508480000,298.1501460000,298.1588130000
0.0799999982,298.1500240000,298.1538390000,298.1575620000,298.1636660000,298.1644900000,298.1514590000,298.1499940000,0.5126761200,0.2607233230,298.1500240000,0.2085543270,298.1499940000,0.2085543270,298.1499940000,0.1237697300,298.1499940000,0.0423390083,298.1499940000,298.1502690000,298.1500550000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0595227294,298.1544490000,298.1513370000,298.1502690000,298.1615300000
0.0900000036,298.1500550000,298.1549680000,298.1596680000,298.1673580000,298.1683350000,298.1518550000,298.1499940000,0.5126761200,0.2629984320,298.1500240000,0.2098594010,298.1500240000,0.2098594010,298.1500240000,0.1231375410,298.1499940000,0.0424393043,298.1499940000,298.1504520000,298.1501160000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0732004121,298.1558840000,298.1519470000,298.1504520000,298.1646120000
0.1000000010,298.1500550000,298.1562500000,298.1620480000,298.1714780000,298.1726680000,298.1523130000,298.1499940000,0.5126760010,0.2636092010,298.1500240000,0.2104813160,298.1500240000,0.2104813160,298.1500240000,0.1231063900,298.1499940000,0.0423114859,298.1499940000,298.1506650000,298.1502080000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0896352753,298.1574710000,298.1526490000,298.1506650000,298.1680600000
