Time [s],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K]
0.1000000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1010000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1019999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1030000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1040000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1049999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1059999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1070000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1080000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1089999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1099999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1110000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1120000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1129999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1140000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1150000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1159999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1169999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1180000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1190000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1199999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1209999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1220000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1230000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1239999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1250000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1260000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1270000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1280000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1289999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1299999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1309999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1319999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1330000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1340000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1350000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1360000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1369999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1379999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1389999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1400000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1410000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1420000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1430000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1439999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1449999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1459999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1470000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1480000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1490000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1500000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1509999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1519999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1529999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1539999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1550000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1560000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1570000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1580000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1589999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1599999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1609999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1620000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1630000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1640000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1650000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1659999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1669999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1679999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1690000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1700000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1710000040,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1720000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.1729999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
