Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,293.2144780000,293.3674620000,293.6434020000,294.2451480000,294.1285710000,293.3551030000,293.1528020000,0.5200401540,0.1522234530,293.1909180000,0.1422976850,293.2602840000,0.1422976850,293.2602840000,0.1333701460,293.4651180000,0.0665446892,293.3845210000,293.6564640000,293.2000730000,293.2243040000,293.1909180000,293.1513670000,293.1499940000,293.1499940000,293.1499940000,0.0150184138,293.4928280000,293.6387630000,293.6564640000,294.9965820000
0.0199999996,293.2549130000,293.6311950000,294.0237120000,294.6533510000,294.5314640000,293.5614930000,293.1543270000,0.5173484090,0.1882469650,293.2840580000,0.1771695910,293.4855040000,0.1771695910,293.4855040000,0.1587964450,293.9817500000,0.0726944879,293.7099610000,294.4396060000,293.3621220000,293.3688960000,293.2840580000,293.1561580000,293.1500240000,293.1499940000,293.1499940000,0.0212207176,293.8988950000,294.3760680000,294.4396060000,295.6046450000
0.0299999993,293.2614750000,293.8110960000,294.1939090000,294.7451780000,294.5957950000,293.6477050000,293.1544490000,0.5183075070,0.2024742360,293.4547420000,0.1855571270,293.8445130000,0.1855571270,293.8445130000,0.1518079040,294.5575870000,0.0573573411,293.9797060000,295.2890320000,293.9259950000,293.6034550000,293.4547420000,293.1737370000,293.1501770000,293.1499940000,293.1499940000,0.0247220211,294.2223820000,295.1306150000,295.2890320000,295.6460570000
0.0399999991,293.2571410000,293.8548890000,294.2156680000,294.7521060000,294.5755000000,293.6407780000,293.1542970000,0.5184324380,0.2212066050,293.7113950000,0.1946832540,294.2846980000,0.1946832540,294.2846980000,0.1436018350,295.0525510000,0.0465667285,294.1446530000,296.0093690000,294.8709720000,293.9600220000,293.7113950000,293.2431340000,293.1508480000,293.1500240000,293.1501160000,0.0293416791,294.3742370000,295.6829220000,296.0093690000,295.6204530000
0.0500000007,293.2547610000,293.8328250000,294.1894530000,294.7405090000,294.5597530000,293.6206670000,293.1542050000,0.5182783010,0.2376815230,294.0473940000,0.2012978050,294.7243650000,0.2012978050,294.7243650000,0.1361414190,295.4179990000,0.0426375493,294.2249150000,296.5243530000,295.8400570000,294.5284120000,294.0473940000,293.4293520000,293.1535640000,293.1500240000,293.1508790000,0.0348692201,294.3927310000,295.9789430000,296.5243530000,295.6080630000
0.0599999987,293.2545470000,293.8116150000,294.1723330000,294.7334900000,294.5594480000,293.6144410000,293.1542050000,0.5182040330,0.2502865790,294.4560240000,0.2057302150,295.1352230000,0.2057302150,295.1352230000,0.1305100320,295.6788940000,0.0422061495,294.2604680000,296.8483890000,296.5764470000,295.3598020000,294.4560240000,293.7567440000,293.1637570000,293.1501160000,293.1541750000,0.0415266268,294.3601680000,296.0804440000,296.8483890000,295.6054990000
0.0700000003,293.2547300000,293.8068850000,294.1711120000,294.7349550000,294.5655520000,293.6154790000,293.1542050000,0.5181878810,0.2588159740,294.9815370000,0.2088091080,295.5613400000,0.2088091080,295.5613400000,0.1269068870,295.8944090000,0.0425504483,294.2802430000,297.0182190000,297.0333860000,296.2049260000,294.9815370000,294.1936650000,293.1948240000,293.1503300000,293.1654050000,0.0500142016,294.3342900000,296.0771480000,297.0182190000,295.6082460000
0.0799999982,293.2547910000,293.8098140000,294.1757510000,294.7409060000,294.5722350000,293.6169740000,293.1541750000,0.5181865100,0.2637518640,295.6648860000,0.2109486760,296.0415340000,0.2109486760,296.0415340000,0.1251129660,296.1170350000,0.0428531505,294.3007510000,297.0794680000,297.2829280000,296.8525390000,295.6648860000,294.6978150000,293.2836610000,293.1508790000,293.1988220000,0.0611497723,294.3276370000,296.0390630000,297.0794680000,295.6132810000
0.0900000036,293.2547910000,293.8130190000,294.1803280000,294.7476200000,294.5787050000,293.6177370000,293.1541440000,0.5181865100,0.2659476400,296.3663640000,0.2122345570,296.5469060000,0.2122345570,296.5469060000,0.1245085080,296.3626710000,0.0429277830,294.3298650000,297.0779110000,297.3985900000,297.2562260000,296.3663640000,295.2251280000,293.4774170000,293.1521910000,293.2821350000,0.0753897876,294.3309020000,296.0057370000,297.0779110000,295.6188050000
0.1000000010,293.2547910000,293.8152160000,294.1841130000,294.7540890000,294.5853880000,293.6182560000,293.1541140000,0.5181864500,0.2664917710,296.9480290000,0.2128292320,297.0056760000,0.2128292320,297.0056760000,0.1244986500,296.5984500000,0.0427668579,294.3691410000,297.0509950000,297.4268800000,297.4662170000,296.9480290000,295.7347720000,293.7912900000,293.1547850000,293.4620060000,0.0924223736,294.3354190000,295.9899900000,297.0509950000,295.6242680000
