Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,298.1499940000,298.1500550000,298.1501460000,298.1503600000,298.1503600000,298.1500240000,298.1499940000,0.5200401540,0.1522234530,298.1499940000,0.1422976850,298.1499940000,0.1422976850,298.1499940000,0.1333701460,298.1499940000,0.0665446892,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0150184138,298.1500550000,298.1499940000,298.1499940000,298.1502990000
0.0199999996,298.1499940000,298.1501770000,298.1504520000,298.1509700000,298.1510620000,298.1500850000,298.1499940000,0.5173484090,0.1882469650,298.1499940000,0.1771695910,298.1499940000,0.1771695910,298.1499940000,0.1587964450,298.1499940000,0.0726944879,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0212207176,298.1501460000,298.1500240000,298.1499940000,298.1508480000
0.0299999993,298.1499940000,298.1504520000,298.1510010000,298.1519780000,298.1521610000,298.1501770000,298.1499940000,0.5183075070,0.2024742360,298.1499940000,0.1855571270,298.1499940000,0.1855571270,298.1499940000,0.1518079040,298.1499940000,0.0573573411,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0247220211,298.1503910000,298.1500550000,298.1499940000,298.1517030000
0.0399999991,298.1500240000,298.1508180000,298.1517640000,298.1534120000,298.1536870000,298.1503300000,298.1499940000,0.5184324380,0.2212066050,298.1499940000,0.1946832540,298.1499940000,0.1946832540,298.1499940000,0.1436018350,298.1499940000,0.0465667285,298.1499940000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0293416791,298.1508180000,298.1501160000,298.1500240000,298.1529240000
0.0500000007,298.1500240000,298.1513670000,298.1528320000,298.1553040000,298.1556700000,298.1505430000,298.1499940000,0.5182783010,0.2376815230,298.1499940000,0.2012978050,298.1499940000,0.2012978050,298.1499940000,0.1361414190,298.1499940000,0.0426375493,298.1499940000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0348692201,298.1514280000,298.1502690000,298.1500240000,298.1545100000
0.0599999987,298.1500240000,298.1520390000,298.1541440000,298.1576540000,298.1581420000,298.1507870000,298.1499940000,0.5182040330,0.2502865790,298.1499940000,0.2057302150,298.1499940000,0.2057302150,298.1499940000,0.1305100320,298.1499940000,0.0422061495,298.1499940000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0415266268,298.1522220000,298.1505130000,298.1500550000,298.1564940000
0.0700000003,298.1500240000,298.1528630000,298.1557010000,298.1604310000,298.1610720000,298.1510930000,298.1499940000,0.5181878810,0.2588159740,298.1499940000,0.2088091080,298.1499940000,0.2088091080,298.1499940000,0.1269068870,298.1499940000,0.0425504483,298.1499940000,298.1501460000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0500142016,298.1532290000,298.1508790000,298.1501460000,298.1588440000
0.0799999982,298.1500240000,298.1538390000,298.1575620000,298.1636660000,298.1644900000,298.1514590000,298.1499940000,0.5181865100,0.2637518640,298.1500240000,0.2109486760,298.1499940000,0.2109486760,298.1499940000,0.1251129660,298.1499940000,0.0428531505,298.1499940000,298.1502690000,298.1500550000,298.1500240000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0611497723,298.1544490000,298.1513670000,298.1502690000,298.1615300000
0.0900000036,298.1500550000,298.1549380000,298.1596680000,298.1673580000,298.1683350000,298.1518550000,298.1499940000,0.5181865100,0.2659476400,298.1500240000,0.2122345570,298.1500240000,0.2122345570,298.1500240000,0.1245085080,298.1499940000,0.0429277830,298.1499940000,298.1504520000,298.1501160000,298.1500550000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0753897876,298.1558840000,298.1519470000,298.1504520000,298.1646420000
0.1000000010,298.1500550000,298.1562190000,298.1620180000,298.1715090000,298.1726680000,298.1523130000,298.1499940000,0.5181864500,0.2664917710,298.1500240000,0.2128292320,298.1500240000,0.2128292320,298.1500240000,0.1244986500,298.1499940000,0.0427668579,298.1499940000,298.1506960000,298.1502080000,298.1500850000,298.1500240000,298.1499940000,298.1499940000,298.1499940000,298.1499940000,0.0924223736,298.1574710000,298.1526790000,298.1506960000,298.1680910000
