Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,293.1499940000,293.1500550000,293.1502080000,293.1504520000,293.1504820000,293.1500240000,293.1499940000,0.5200565460,0.1518062500,293.1499940000,0.1420000340,293.1499940000,0.1420000340,293.1499940000,0.1331626180,293.1499940000,0.0664562732,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0149574671,293.1500550000,293.1499940000,293.1499940000,293.1504520000
0.0199999996,293.1499940000,293.1502380000,293.1506040000,293.1512760000,293.1513980000,293.1501460000,293.1499940000,0.5173661710,0.1904234440,293.1499940000,0.1791701760,293.1499940000,0.1791701760,293.1499940000,0.1606182610,293.1499940000,0.0735601336,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0214679483,293.1502380000,293.1500240000,293.1499940000,293.1513060000
0.0299999993,293.1499940000,293.1505430000,293.1513060000,293.1527100000,293.1528930000,293.1502690000,293.1499940000,0.5182495710,0.2018518300,293.1499940000,0.1851290610,293.1499940000,0.1851290610,293.1499940000,0.1514455530,293.1499940000,0.0571020097,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0246746521,293.1505430000,293.1501460000,293.1499940000,293.1527710000
0.0399999991,293.1500240000,293.1510310000,293.1523440000,293.1547550000,293.1549990000,293.1504520000,293.1499940000,0.5184445380,0.2206776140,293.1499940000,0.1942353250,293.1499940000,0.1942353250,293.1499940000,0.1430885490,293.1499940000,0.0464534946,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0292621702,293.1511230000,293.1502990000,293.1500240000,293.1549380000
0.0499999970,293.1500240000,293.1517030000,293.1537480000,293.1575010000,293.1577150000,293.1506960000,293.1499940000,0.5182883740,0.2376420350,293.1499940000,0.2012705360,293.1499940000,0.2012705360,293.1499940000,0.1360752880,293.1499940000,0.0427169986,293.1499940000,293.1501460000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0348524377,293.1520080000,293.1506350000,293.1501460000,293.1577450000
0.0599999987,293.1500240000,293.1525570000,293.1555180000,293.1609500000,293.1610720000,293.1510310000,293.1499940000,0.5182032590,0.2502763570,293.1499940000,0.2057388280,293.1499940000,0.2057388280,293.1499940000,0.1305567320,293.1499940000,0.0422624648,293.1499940000,293.1502990000,293.1500550000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0415320508,293.1531680000,293.1512150000,293.1502990000,293.1613160000
0.0700000003,293.1500550000,293.1536250000,293.1576540000,293.1650390000,293.1651000000,293.1514280000,293.1499940000,0.5181863310,0.2587687670,293.1499940000,0.2087831050,293.1499940000,0.2087831050,293.1499940000,0.1269264220,293.1499940000,0.0425826088,293.1499940000,293.1506040000,293.1501460000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0500282831,293.1546330000,293.1521300000,293.1506040000,293.1655270000
0.0799999982,293.1501160000,293.1548160000,293.1602170000,293.1697690000,293.1697390000,293.1518860000,293.1499940000,0.5181864500,0.2637244760,293.1500240000,0.2109382000,293.1499940000,0.2109382000,293.1499940000,0.1251262430,293.1499940000,0.0428760573,293.1499940000,293.1510930000,293.1503300000,293.1501160000,293.1500240000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0611836873,293.1564330000,293.1533810000,293.1510930000,293.1704710000
0.0899999961,293.1501160000,293.1562500000,293.1631160000,293.1751710000,293.1750180000,293.1524350000,293.1499940000,0.5181869270,0.2659731510,293.1500550000,0.2122773230,293.1500240000,0.2122773230,293.1500240000,0.1245557590,293.1499940000,0.0429450609,293.1499940000,293.1519170000,293.1506040000,293.1502080000,293.1500550000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0754491836,293.1585690000,293.1549680000,293.1519170000,293.1760560000
0.0999999940,293.1501460000,293.1578980000,293.1663820000,293.1812740000,293.1809080000,293.1530150000,293.1499940000,0.5181864500,0.2665219900,293.1501460000,0.2128826830,293.1500550000,0.2128826830,293.1500550000,0.1245517210,293.1500240000,0.0427801274,293.1499940000,293.1530460000,293.1510930000,293.1503910000,293.1501460000,293.1500240000,293.1499940000,293.1783750000,293.1499940000,0.0925000086,293.1609800000,293.1568910000,293.1530460000,293.1823730000
