Time [ s ],Monitor Point: Coil12 X0 Z0089 (Temperature) [ K ]
0.0010000001,293.1499940000
0.0020000001,293.1499940000
0.0030000000,293.1499940000
0.0040000002,293.1499940000
0.0049999999,293.1499940000
0.0060000001,293.1499940000
0.0070000002,293.1499940000
0.0080000004,293.1499940000
0.0089999996,293.1499940000
0.0099999998,293.1500240000
0.0109999999,293.1500850000
0.0120000001,293.1503300000
0.0130000003,293.1507570000
0.0140000004,293.1514590000
0.0149999997,293.1523740000
0.0160000008,293.1535030000
0.0170000009,293.1547850000
0.0179999992,293.1560970000
0.0189999994,293.1574400000
0.0199999996,293.1587520000
0.0209999997,293.1600340000
0.0219999999,293.1613160000
0.0230000000,293.1625980000
0.0240000002,293.1638790000
0.0250000004,293.1651610000
0.0260000005,293.1664730000
0.0270000007,293.1677550000
0.0280000009,293.1690370000
0.0289999992,293.1703190000
0.0299999993,293.1716000000
0.0309999995,293.1728820000
0.0320000015,293.1741940000
0.0329999998,293.1754760000
0.0340000018,293.1767580000
0.0350000001,293.1780400000
0.0359999985,293.1793210000
0.0370000005,293.1806030000
0.0379999988,293.1818850000
0.0390000008,293.1831970000
0.0399999991,293.1844790000
0.0410000011,293.1857600000
0.0419999994,293.1870420000
0.0430000015,293.1883240000
0.0439999998,293.1896060000
0.0450000018,293.1908870000
0.0460000001,293.1922000000
0.0469999984,293.1934810000
0.0480000004,293.1947630000
0.0489999987,293.1960450000
0.0500000007,293.1973270000
0.0509999990,293.1986080000
0.0520000011,293.1998900000
0.0529999994,293.2012020000
0.0540000014,293.2024840000
0.0549999997,293.2037350000
0.0560000017,293.2050480000
0.0570000000,293.2063290000
0.0579999983,293.2076110000
0.0590000004,293.2088930000
0.0599999987,293.2101750000
0.0610000007,293.2114560000
0.0619999990,293.2127380000
0.0630000010,293.2140200000
0.0640000030,293.2153020000
0.0649999976,293.2165830000
0.0659999996,293.2178650000
0.0670000017,293.2191470000
0.0680000037,293.2204280000
0.0689999983,293.2217100000
0.0700000003,293.2229920000
0.0710000023,293.2242740000
0.0719999969,293.2255550000
0.0729999989,293.2268370000
0.0740000010,293.2281190000
0.0750000030,293.2294010000
0.0759999976,293.2306820000
0.0769999996,293.2319640000
0.0780000016,293.2332460000
0.0790000036,293.2345280000
0.0799999982,293.2358090000
0.0810000002,293.2370910000
0.0820000023,293.2383730000
0.0829999968,293.2396550000
0.0839999989,293.2409060000
0.0850000009,293.2421880000
0.0860000029,293.2434690000
0.0869999975,293.2447510000
0.0879999995,293.2460330000
0.0890000015,293.2473140000
0.0900000036,293.2485960000
0.0909999982,293.2498780000
0.0920000002,293.2511600000
0.0930000022,293.2524410000
0.0939999968,293.2537230000
0.0949999988,293.2549740000
0.0960000008,293.2562560000
0.0970000029,293.2575380000
0.0979999974,293.2588200000
0.0989999995,293.2601010000
0.1000000010,293.2613830000
0.1010000040,293.2626340000
0.1019999980,293.2639160000
0.1030000000,293.2651980000
0.1040000020,293.2664790000
0.1049999970,293.2677610000
0.1059999990,293.2690430000
0.1070000010,293.2702940000
0.1080000030,293.2715760000
0.1089999970,293.2728580000
0.1099999990,293.2741390000
0.1110000010,293.2753910000
0.1120000030,293.2766720000
0.1129999980,293.2779540000
0.1140000000,293.2792050000
0.1150000020,293.2804870000
0.1159999970,293.2817690000
0.1169999990,293.2830510000
0.1180000010,293.2843320000
0.1190000030,293.2855830000
0.1199999970,293.2868650000
0.1209999990,293.2881470000
0.1220000010,293.2893980000
0.1230000030,293.2906800000
0.1239999980,293.2919620000
0.1250000000,293.2932430000
0.1260000020,293.2944950000
0.1270000040,293.2957760000
0.1280000060,293.2970280000
0.1289999930,293.2983090000
0.1299999950,293.2995910000
0.1309999970,293.3008420000
0.1319999990,293.3021240000
0.1330000010,293.3034060000
0.1340000030,293.3046570000
0.1350000050,293.3059390000
0.1360000070,293.3072200000
0.1369999950,293.3084720000
0.1379999970,293.3097530000
0.1389999990,293.3110350000
0.1400000010,293.3122860000
0.1410000030,293.3135380000
0.1420000050,293.3148190000
0.1430000070,293.3161010000
0.1439999940,293.3173520000
0.1449999960,293.3186340000
0.1459999980,293.3198850000
0.1470000000,293.3211670000
0.1480000020,293.3224180000
0.1490000040,293.3237000000
0.1500000060,293.3249820000
0.1509999930,293.3262330000
0.1519999950,293.3275150000
0.1529999970,293.3287660000
0.1539999990,293.3300480000
0.1550000010,293.3312990000
0.1560000030,293.3325810000
0.1570000050,293.3338320000
0.1580000070,293.3351140000
0.1589999940,293.3363650000
0.1599999960,293.3376460000
0.1609999980,293.3388980000
0.1620000000,293.3401790000
0.1630000030,293.3414310000
0.1640000050,293.3427120000
0.1650000070,293.3439640000
0.1659999940,293.3452150000
0.1669999960,293.3464970000
0.1679999980,293.3477480000
0.1690000000,293.3490300000
0.1700000020,293.3502810000
0.1710000040,293.3515630000
0.1720000060,293.3528140000
0.1729999930,293.3540650000
0.1739999950,293.3553470000
0.1749999970,293.3565980000
0.1759999990,293.3578800000
