Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,293.1499940000,293.1500550000,293.1501460000,293.1503600000,293.1503600000,293.1500240000,293.1499940000,0.5335295200,0.1575224400,293.1499940000,0.1473152940,293.1499940000,0.1473152940,293.1499940000,0.1382120700,293.1499940000,0.0689935088,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0156725850,293.1500550000,293.1499940000,293.1499940000,293.1502990000
0.0199999996,293.1499940000,293.1501770000,293.1504520000,293.1509700000,293.1510310000,293.1500850000,293.1499940000,0.5307953360,0.1936667560,293.1499940000,0.1822279240,293.1499940000,0.1822279240,293.1499940000,0.1630664910,293.1499940000,0.0744007006,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0220558904,293.1501460000,293.1500240000,293.1499940000,293.1508480000
0.0299999993,293.1499940000,293.1504520000,293.1509700000,293.1519780000,293.1521300000,293.1501770000,293.1499940000,0.5318050380,0.2081805770,293.1499940000,0.1905871480,293.1499940000,0.1905871480,293.1499940000,0.1553331460,293.1499940000,0.0581552200,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0256322585,293.1503910000,293.1500550000,293.1499940000,293.1517030000
0.0399999991,293.1500240000,293.1508180000,293.1517640000,293.1534120000,293.1536560000,293.1503300000,293.1499940000,0.5319076180,0.2278311850,293.1499940000,0.2001091840,293.1499940000,0.2001091840,293.1499940000,0.1469256880,293.1499940000,0.0474335216,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0305600874,293.1508180000,293.1501460000,293.1500240000,293.1529240000
0.0500000007,293.1500240000,293.1513370000,293.1528020000,293.1553040000,293.1556400000,293.1505430000,293.1499940000,0.5317409040,0.2448531840,293.1499940000,0.2068683060,293.1499940000,0.2068683060,293.1499940000,0.1392913460,293.1499940000,0.0437956527,293.1499940000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0364905111,293.1514280000,293.1502990000,293.1500550000,293.1545100000
0.0599999987,293.1500240000,293.1520080000,293.1540830000,293.1576230000,293.1581120000,293.1507870000,293.1499940000,0.5316636560,0.2577417490,293.1499940000,0.2114357050,293.1499940000,0.2114357050,293.1499940000,0.1336339410,293.1499940000,0.0435088724,293.1499940000,293.1500850000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0437177531,293.1522520000,293.1505430000,293.1500850000,293.1564940000
0.0700000003,293.1500240000,293.1528320000,293.1556400000,293.1604000000,293.1610110000,293.1510620000,293.1499940000,0.5316467880,0.2663315530,293.1499940000,0.2146340310,293.1499940000,0.2146340310,293.1499940000,0.1301143170,293.1499940000,0.0438601077,293.1499940000,293.1501460000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0530606471,293.1532590000,293.1509090000,293.1501460000,293.1588440000
0.0799999982,293.1500240000,293.1537780000,293.1574710000,293.1636350000,293.1643980000,293.1513980000,293.1499940000,0.5316452380,0.2711400990,293.1500240000,0.2168091090,293.1499940000,0.2168091090,293.1499940000,0.1284338240,293.1499940000,0.0441140570,293.1499940000,293.1502990000,293.1500550000,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0653924271,293.1544490000,293.1513980000,293.1502990000,293.1615300000
0.0900000036,293.1500550000,293.1548770000,293.1595460000,293.1672970000,293.1682430000,293.1517940000,293.1499940000,0.5316452980,0.2731561960,293.1500240000,0.2180661860,293.1500240000,0.2180661860,293.1500240000,0.1279141750,293.1499940000,0.0441153869,293.1499940000,293.1504820000,293.1501460000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0810932070,293.1558530000,293.1520390000,293.1504820000,293.1646420000
0.1000000010,293.1500550000,293.1561280000,293.1618960000,293.1714170000,293.1725160000,293.1522520000,293.1499940000,0.5316452380,0.2735272050,293.1500240000,0.2185778470,293.1500240000,0.2185778470,293.1500240000,0.1279341580,293.1500240000,0.0438677631,293.1499940000,293.1507570000,293.1502380000,293.1500850000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,0.0996131301,293.1574710000,293.1527710000,293.1507570000,293.1680910000
