Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
0.0099999998,293.1499940000,293.1500240000,293.1500550000,293.1502080000,293.1502080000,293.1500240000,293.1499940000,0.5200565460,0.1518062500,293.1499940000,0.1420000340,293.1499940000,0.1420000340,293.1499940000,0.1331626180,293.1499940000,0.0664562732,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0149574671,293.1500240000,293.1499940000,293.1499940000,293.1501770000
0.0199999996,293.1499940000,293.1501160000,293.1502380000,293.1505130000,293.1505740000,293.1500240000,293.1499940000,0.5173661710,0.1904234440,293.1499940000,0.1791701760,293.1499940000,0.1791701760,293.1499940000,0.1606182610,293.1499940000,0.0735601336,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0214679483,293.1501160000,293.1499940000,293.1499940000,293.1504520000
0.0299999993,293.1499940000,293.1502380000,293.1505130000,293.1510010000,293.1510930000,293.1501160000,293.1499940000,0.5182496910,0.2018518300,293.1499940000,0.1851290610,293.1499940000,0.1851290610,293.1499940000,0.1514455530,293.1499940000,0.0571020059,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0246746521,293.1502080000,293.1500240000,293.1499940000,293.1508480000
0.0399999991,293.1499940000,293.1504210000,293.1508790000,293.1517030000,293.1519170000,293.1502080000,293.1499940000,0.5184446570,0.2206776140,293.1499940000,0.1942353400,293.1499940000,0.1942353400,293.1499940000,0.1430885490,293.1499940000,0.0464534909,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783450000,293.1499940000,0.0292621683,293.1504210000,293.1500550000,293.1499940000,293.1514280000
0.0499999970,293.1499940000,293.1506960000,293.1513980000,293.1526490000,293.1528930000,293.1502990000,293.1499940000,0.5182883140,0.2376420350,293.1499940000,0.2012705500,293.1499940000,0.2012705500,293.1499940000,0.1360753030,293.1499940000,0.0427169949,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0348524377,293.1506960000,293.1501460000,293.1500240000,293.1522520000
0.0599999987,293.1499940000,293.1510010000,293.1520390000,293.1538090000,293.1541440000,293.1504210000,293.1499940000,0.5182030800,0.2502763270,293.1499940000,0.2057388280,293.1499940000,0.2057388280,293.1499940000,0.1305567470,293.1499940000,0.0422624648,293.1499940000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0415320508,293.1510930000,293.1502690000,293.1500240000,293.1532290000
0.0700000003,293.1499940000,293.1514280000,293.1528020000,293.1551820000,293.1556090000,293.1505430000,293.1499940000,0.5181863310,0.2587687370,293.1499940000,0.2087830900,293.1499940000,0.2087830900,293.1499940000,0.1269264370,293.1499940000,0.0425826088,293.1499940000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0500282831,293.1516110000,293.1504520000,293.1500550000,293.1543880000
0.0799999982,293.1500240000,293.1519170000,293.1537480000,293.1567990000,293.1572880000,293.1507260000,293.1499940000,0.5181864500,0.2637244460,293.1499940000,0.2109382000,293.1499940000,0.2109382000,293.1499940000,0.1251262580,293.1499940000,0.0428760611,293.1499940000,293.1501460000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0611836798,293.1522220000,293.1506650000,293.1501460000,293.1557310000
0.0899999961,293.1500240000,293.1524660000,293.1547850000,293.1586300000,293.1592100000,293.1509400000,293.1499940000,0.5181868670,0.2659731510,293.1499940000,0.2122773230,293.1499940000,0.2122773230,293.1499940000,0.1245557670,293.1499940000,0.0429450646,293.1499940000,293.1502380000,293.1500550000,293.1500240000,293.1499940000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0754491687,293.1529240000,293.1509700000,293.1502380000,293.1572570000
0.0999999940,293.1500240000,293.1530760000,293.1559750000,293.1607060000,293.1613460000,293.1511540000,293.1499940000,0.5181864500,0.2665219600,293.1500240000,0.2128826980,293.1499940000,0.2128826980,293.1499940000,0.1245517430,293.1499940000,0.0427801311,293.1499940000,293.1503300000,293.1501160000,293.1500240000,293.1500240000,293.1499940000,293.1499940000,293.1783750000,293.1499940000,0.0925000012,293.1537170000,293.1513370000,293.1503300000,293.1589970000
