[Name],
On1.5s_Off1.5s,
[Spatial Fields],
t,
[Data],
t[s],Power[W m^-3]
0.0000000000,0.0000000000
0.0151515152,767944.9340477370
0.0303030303,1535889.8680954700
0.0454545455,2303834.8021432100
0.0606060606,3071779.7361909400
0.0757575758,3839724.6702386800
0.0909090909,4607669.6042864200
0.1060606061,5375614.5383341600
0.1212121212,6143559.4723818900
0.1363636364,6911504.4064296300
0.1515151515,7679449.3404773700
0.1666666667,8447394.2745251100
0.1818181818,9215339.2085728400
0.1969696970,9983284.1426205800
0.2121212121,10751229.0766683000
0.2272727273,11519174.0107160000
0.2424242424,12287118.9447637000
0.2575757576,13055063.8788115000
0.2727272727,13823008.8128592000
0.2878787879,14590953.7469070000
0.3030303030,15358898.6809547000
0.3181818182,16126843.6150024000
0.3333333333,16894788.5490502000
0.3484848485,17662733.4830979000
0.3636363636,18430678.4171456000
0.3787878788,19198623.3511934000
0.3939393939,19966568.2852411000
0.4090909091,20734513.2192889000
0.4242424242,21502458.1533366000
0.4393939394,22270403.0873843000
0.4545454545,23038348.0214321000
0.4696969697,23806292.9554798000
0.4848484848,24574237.8895275000
0.5000000000,25342182.8235753000
0.5151515152,26110127.7576230000
0.5303030303,26878072.6916708000
0.5454545455,27646017.6257185000
0.5606060606,28413962.5597662000
0.5757575758,29181907.4938140000
0.5909090909,29949852.4278617000
0.6060606061,30717797.3619094000
0.6212121212,31485742.2959572000
0.6363636364,32253687.2300049000
0.6515151515,33021632.1640527000
0.6666666667,33789577.0981004000
0.6818181818,34557522.0321481000
0.6969696970,35325466.9661959000
0.7121212121,36093411.9002436000
0.7272727273,36861356.8342913000
0.7424242424,37629301.7683391000
0.7575757576,38397246.7023868000
0.7727272727,39165191.6364345000
0.7878787879,39933136.5704823000
0.8030303030,40701081.5045300000
0.8181818182,41469026.4385778000
0.8333333333,42236971.3726255000
0.8484848485,43004916.3066732000
0.8636363636,43772861.2407210000
0.8787878788,44540806.1747687000
0.8939393939,45308751.1088164000
0.9090909091,46076696.0428642000
0.9242424242,46844640.9769119000
0.9393939394,47612585.9109597000
0.9545454545,48380530.8450074000
0.9696969697,49148475.7790551000
0.9848484848,49916420.7131029000
